resolution,region,variable,quantile,IXR
0.05 x 0.05,GCFR,Elevation,0.99,5.409918451057092
0.05 x 0.05,GCFR,MAP,0.99,5.133301753679456
0.05 x 0.05,GCFR,PDQ,0.99,6.188301094120606
0.05 x 0.05,GCFR,Surface T,0.99,5.020456736853102
0.05 x 0.05,GCFR,NDVI,0.99,5.83289396895044
0.05 x 0.05,GCFR,CEC,0.99,3.9171511796644616
0.05 x 0.05,GCFR,Clay,0.99,4.000822478421989
0.05 x 0.05,GCFR,Soil C,0.99,3.7400964476885576
0.05 x 0.05,GCFR,pH,0.99,3.0866917674030843
0.05 x 0.05,SWAFR,Elevation,0.99,0.8486443320785069
0.05 x 0.05,SWAFR,MAP,0.99,2.577256260553206
0.05 x 0.05,SWAFR,PDQ,0.99,1.1401276085503818
0.05 x 0.05,SWAFR,Surface T,0.99,2.984230047303641
0.05 x 0.05,SWAFR,NDVI,0.99,3.8649971993237857
0.05 x 0.05,SWAFR,CEC,0.99,4.952187435756777
0.05 x 0.05,SWAFR,Clay,0.99,6.5858773744950385
0.05 x 0.05,SWAFR,Soil C,0.99,6.028057160641156
0.05 x 0.05,SWAFR,pH,0.99,6.3154743032065666
0.25 x 0.25,GCFR,Elevation,0.99,3.4029179581638473
0.25 x 0.25,GCFR,MAP,0.99,4.041414115254788
0.25 x 0.25,GCFR,PDQ,0.99,5.922812236101379
0.25 x 0.25,GCFR,Surface T,0.99,4.5471105211031
0.25 x 0.25,GCFR,NDVI,0.99,5.338703439922162
0.25 x 0.25,GCFR,CEC,0.99,4.729060379219941
0.25 x 0.25,GCFR,Clay,0.99,3.3860263158976904
0.25 x 0.25,GCFR,Soil C,0.99,3.1135593055991952
0.25 x 0.25,GCFR,pH,0.99,3.5740217486774895
0.25 x 0.25,SWAFR,Elevation,0.99,1.0866812939951096
0.25 x 0.25,SWAFR,MAP,0.99,3.7313115277952216
0.25 x 0.25,SWAFR,PDQ,0.99,1.4153318946648064
0.25 x 0.25,SWAFR,Surface T,0.99,2.801638720885129
0.25 x 0.25,SWAFR,NDVI,0.99,2.8624509086723076
0.25 x 0.25,SWAFR,CEC,0.99,4.044120722505367
0.25 x 0.25,SWAFR,Clay,0.99,5.982270826407463
0.25 x 0.25,SWAFR,Soil C,0.99,5.243946007188989
