resolution,region,variable,roughness,z_roughness
0.05 x 0.05,GCFR,Elevation,194.51924994042724,2.0115321228847844
0.05 x 0.05,GCFR,Elevation,34.25578053422588,-0.33441992107889673
0.05 x 0.05,GCFR,Elevation,38.88768444682722,-0.266617667131248
0.05 x 0.05,GCFR,Elevation,21.627777292825726,-0.5192698443028623
0.05 x 0.05,GCFR,Elevation,131.1100765584481,1.0833425582094462
0.05 x 0.05,GCFR,Elevation,78.36154889663271,0.31120454857565344
0.05 x 0.05,GCFR,Elevation,28.987019899267118,-0.41154454484083935
0.05 x 0.05,GCFR,Elevation,58.049738238660716,0.013878315053911995
0.05 x 0.05,GCFR,Elevation,169.95350713383436,1.651936422366506
0.05 x 0.05,GCFR,Elevation,162.55993084175446,1.5437085431194648
0.05 x 0.05,GCFR,Elevation,56.88593386064681,-0.0031575651094932315
0.05 x 0.05,GCFR,Elevation,53.65694012145261,-0.05042388531630795
0.05 x 0.05,GCFR,Elevation,78.27531270130054,0.30994221487320245
0.05 x 0.05,GCFR,Elevation,74.3774719093402,0.2528852473257962
0.05 x 0.05,GCFR,Elevation,35.20206987113697,-0.32056804695978003
0.05 x 0.05,GCFR,Elevation,55.38711840334543,-0.02509736959899011
0.05 x 0.05,GCFR,Elevation,62.76982867480221,0.0829714517954725
0.05 x 0.05,GCFR,Elevation,53.80409639805126,-0.04826979761842032
0.05 x 0.05,GCFR,Elevation,70.13373417761271,0.19076500718199538
0.05 x 0.05,GCFR,Elevation,76.15335849566556,0.27888084558954157
0.05 x 0.05,GCFR,Elevation,117.5193247613456,0.88439982924228
0.05 x 0.05,GCFR,Elevation,15.59715000025217,-0.607546745307282
0.05 x 0.05,GCFR,Elevation,63.67513557501595,0.09622342107356091
0.05 x 0.05,GCFR,Elevation,50.28855898717679,-0.09973057158786623
0.05 x 0.05,GCFR,Elevation,87.04115336943964,0.4382574317387445
0.05 x 0.05,GCFR,Elevation,36.41980957751551,-0.3027426562841684
0.05 x 0.05,GCFR,Elevation,157.99456567170438,1.476880289670303
0.05 x 0.05,GCFR,Elevation,226.54670313352344,2.480353056062385
0.05 x 0.05,GCFR,Elevation,47.15206079797512,-0.14564293305806747
0.05 x 0.05,GCFR,Elevation,40.54023175237842,-0.2424275210950454
0.05 x 0.05,GCFR,Elevation,57.301801768638924,0.0029299492341545233
0.05 x 0.05,GCFR,Elevation,77.68456400515318,0.3012947787710725
0.05 x 0.05,GCFR,Elevation,246.3682366651069,2.7705025659613236
0.05 x 0.05,GCFR,Elevation,135.74317265368663,1.1511622634409393
0.05 x 0.05,GCFR,Elevation,51.302207021524936,-0.08489269439196184
0.05 x 0.05,GCFR,Elevation,32.29417065537764,-0.36313415472049854
0.05 x 0.05,GCFR,Elevation,16.778010856231344,-0.5902611907826908
0.05 x 0.05,GCFR,Elevation,204.35451627740548,2.1555016953123016
0.05 x 0.05,GCFR,Elevation,133.99705774841573,1.1256024659013435
0.05 x 0.05,GCFR,Elevation,35.87674949111418,-0.31069202194066275
0.05 x 0.05,GCFR,Elevation,97.65393321072906,0.5936083214521435
0.05 x 0.05,GCFR,Elevation,85.26508760750959,0.41225921068530397
0.05 x 0.05,GCFR,Elevation,118.07239216947383,0.8924956830345099
0.05 x 0.05,GCFR,Elevation,44.67507144283956,-0.18190134092909843
0.05 x 0.05,GCFR,Elevation,210.87361417893987,2.2509288759640653
0.05 x 0.05,GCFR,Elevation,75.49385797594793,0.26922701369660235
0.05 x 0.05,GCFR,Elevation,138.60630942716026,1.1930731342761
0.05 x 0.05,GCFR,Elevation,198.62607550186928,2.071648229541929
0.05 x 0.05,GCFR,Elevation,148.99019585895752,1.3450734602968653
0.05 x 0.05,GCFR,Elevation,52.05301953194645,-0.07390222881685
0.05 x 0.05,GCFR,Elevation,82.46654512801258,0.3712938773238066
0.05 x 0.05,GCFR,Elevation,86.73138583171387,0.43372302479638947
0.05 x 0.05,GCFR,Elevation,38.63843841259218,-0.270266154497895
0.05 x 0.05,GCFR,Elevation,78.34469102059573,0.31095778136855146
0.05 x 0.05,GCFR,Elevation,154.79433946775205,1.430035071404876
0.05 x 0.05,GCFR,Elevation,38.64465886186645,-0.2701750989645072
0.05 x 0.05,GCFR,Elevation,34.229676222162894,-0.33480203850383033
0.05 x 0.05,GCFR,Elevation,118.80564155885324,0.9032290579584599
0.05 x 0.05,GCFR,Elevation,40.64520650034059,-0.24089089066105512
0.05 x 0.05,GCFR,Elevation,195.79122449610742,2.03015140848882
0.05 x 0.05,GCFR,Elevation,203.76365265309252,2.1468525768806552
0.05 x 0.05,GCFR,Elevation,90.33656221577915,0.48649594265711
0.05 x 0.05,GCFR,Elevation,157.6231896141939,1.4714440513034195
0.05 x 0.05,GCFR,Elevation,511.1577596154314,6.646517011967353
0.05 x 0.05,GCFR,Elevation,145.3148302190785,1.2912731053742201
