species,n_collections
Encephalartos lehmannii,1010
Leucadendron salignum,917
Diastella thymelaeoides,695
Erica plukenetii,667
Pentameris pallida,649
Tribolium uniolae,597
Aspalathus ciliaris,543
Erica corifolia,538
Erica imbricata,538
Serruria fasciflora,521
Restio strobilifer,513
Erica curviflora,484
Erica eglandulosa,478
Erica calycina,468
Metalasia densa,468
Wachendorfia paniculata,462
Aspalathus divaricata,461
Pentaschistis curvifolia,453
Ficinia nigrescens,448
Chrysocoma oblongifolia,446
Agathosma ovata,443
Erica hispidula,443
Aspalathus setacea,438
Erica quadrangularis,436
Tribolium hispidum,436
Polygala myrtifolia,422
Haemanthus coccineus,404
Moraea fistulosa,403
Aspalathus hispida,399
Leucadendron spissifolium,394
Aspalathus spinosa,393
Felicia filifolia,385
Eriocephalus africanus,376
Hermannia conglomerata,376
Leucadendron rubrum,373
Restio sieberi,372
Leucadendron pubescens,371
Erica discolor,368
Spiloxene capensis,368
Rafnia capensis,367
Syncarpha paniculata,367
Linum thunbergii,362
Elegia filacea,359
Diosma hirsuta,356
Erica cerinthoides,354
Leucospermum cuneiforme,349
Aspalathus spicata,347
Erica anguliger,344
Berzelia lanuginosa,342
Erica labialis,338
Helichrysum cymosum,337
Solanum africanum,337
Erica coccinea,335
Eragrostis capensis,330
Erica articularis,329
Erica plumosa,326
Muraltia pubescens,326
Erica equisetifolia,324
Tetraria cuspidata,322
Restio gaudichaudianus,321
Protea repens,320
Gladiolus jonquilliodorus,313
Galenia acutifolia,311
Indigofera heterophylla,311
Oedera squarrosa,305
Trifolium acaule,305
Aspalathus laricifolia,304
Erica abietina,303
Erica nudiflora,303
Sebaea exacoides,302
Pteronia incana,299
Hypodiscus aristatus,298
Mesembryanthemum splendens,298
Schotia afra,297
Agathosma capensis,293
Protea laurifolia,292
Podalyria oleaefolia,290
Othonna quinquedentata,287
Bromus pectinatus,286
Restio triticeus,286
Amphithalea ericifolia,285
Aspalathus linearis,285
Protea neriifolia,285
Aulax umbellata,284
Muraltia spinosa,284
Chironia baccifera,282
Pterygodium catholicum,282
Pterocelastrus tricuspidatus,280
Chaetobromus involucratus,275
Disa cylindrica,274
Pelargonium myrrhifolium,274
Moraea tripetala,273
Aspalathus nigra,272
Pentameris eriostoma,272
Tephrosia capensis,268
Wahlenbergia tenella,268
Erica parviflora,266
Restio bifidus,266
Aspalathus tridentata,263
Erica daphniflora,263
Aspalathus lactea,261
Kewa salsoloides,261
Pelargonium plurisectum,261
Gymnosporia laurina,260
Ficinia indica,258
Gnidia galpinii,256
Nymania capensis,256
Oligomeris linifolia,256
Aspalathus acuminata,255
Erica pulchella,253
Restio filiformis,252
Montinia caryophyllacea,251
Aspalathus chortophila,249
Erica muscosa,248
Agathosma serpyllacea,247
Edmondia sesamoides,247
Leucadendron linifolium,246
Pentameris colorata,242
Adenandra villosa,241
Erica cristiflora,241
Seriphium plumosum,240
Brachylaena neriifolia,238
Corymbium glabrum,238
Helichrysum felinum,238
Grielum humifusum,237
Hermannia diversistipula,237
Pelargonium longifolium,237
Thamnochortus lucens,237
Dicerothamnus rhinocerotis,235
Erica melanthera,234
Aspalathus uniflora,232
Crotalaria humilis,232
Erica mammosa,232
Mesembryanthemum junceum,232
Aspalathus rubens,231
Corymbium africanum,230
Muraltia heisteria,230
Pauridia minuta,229
Passerina corymbosa,228
Podalyria myrtillifolia,228
Gladiolus carneus,227
Hypodiscus argenteus,227
Oedera genistifolia,227
Polystichum incongruum,227
Leucadendron eucalyptifolium,226
Leysera gnaphalodes,226
Moraea fugax,225
Hesperantha falcata,224
Kniphofia thodei,224
Pelargonium triste,224
Pteronia divaricata,224
Restio capensis,224
Protea acaulos,222
Microloma sagittatum,220
Polygala fruticosa,220
Juncus acutus,219
Cymbopogon marginatus,218
Hermannia hyssopifolia,218
Hoodia pilifera,218
Serruria elongata,218
Aspalathus crenata,216
Gnaphalium antillanum,216
Helichrysum asperum,216
Tricholaena capensis,216
Brunsvigia orientalis,215
Serruria acrocarpa,215
Syncarpha vestita,215
Disa tripetaloides,214
Bulbine frutescens,212
Staavia radiata,212
Cannomois virgata,211
Erica rosacea,211
Pentameris macrocalycina,211
Mesembryanthemum noctiflorum,210
Pentameris malouinensis,210
Searsia tomentosa,210
Staberoha cernua,209
Aspalathus retroflexa,208
Erica inaequalis,208
Erica similis,208
Hypodiscus striatus,207
Leucospermum hypophyllocarpodendron,207
Penaea mucronata,207
Erica bruniades,205
Pelargonium echinatum,205
Brunsvigia bosmaniae,204
Hellmuthia membranacea,204
Oxalis obtusa,204
Searsia lucida,204
Cotula coronopifolia,203
Protea nitida,203
Ehrharta erecta,202
Erepsia anceps,202
Erica axillaris,202
Sebaea membranacea,202
Tribolium echinatum,202
Aspalathus juniperina,201
Aspalathus ericifolia,200
Protea cynaroides,200
Erica artemisioides,199
Koeleria capensis,199
Leucadendron glaberrimum,199
Mesembryanthemum pallens,199
Aspalathus angustifolia,198
Briza maxima,198
Bulbine praemorsa,198
Restio cincinnatus,198
Bulbinella triquetra,197
Erica rigidula,197
Euryops abrotanifolius,197
Holothrix filicornis,197
Tritoniopsis antholyza,197
Enneapogon scaber,196
Penaea cneorum,196
Ursinia anthemoides,196
Serruria aitonii,195
Bulbinella nutans,194
