region,dgc,lat,lon,n_collections,DS_richness,mean_HDS_richness,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,PC1,PC2,PC1_residual,multivariate_residual
GCFR,E017S29,-29.5,17.5,9655,1558,734.25,1.4594405427232402,-0.6009037172809119,-0.5386177563230021,-0.38113379147797566,-1.103089476801333,0.7617521398718592,1.2074839863843414,0.09999239789500512,0.4568826162539714,-0.1800271879451434,1.0650527283934808,-327.18671454717844,-4.838017220398351
GCFR,E018S30,-30.5,18.5,3670,1216,421.75,1.5077776906878644,-0.8679517410439591,-0.21426057855498107,0.6043693462949787,-0.03423338141847692,0.03250019847136784,-0.9155375103989128,0.3995612734343541,1.0433367870688894,0.5498366697926347,1.2481427859154104,-837.870900994523,3.5763440486771296
GCFR,E019S31,-31.5,19.5,10676,2151,915.25,1.3361098258895143,-0.9683926025790559,0.23381945188639522,-0.06164756644159049,-0.5308751800652224,0.8877765421260775,-0.33127006186065727,-2.6475690211238527,-0.9283904987048011,-1.6505299953840202,2.328420979920518,605.6719688382424,-2.1503625414262886
GCFR,E019S32,-32.5,19.5,21331,3005,1278.25,0.8170298195886654,0.7167280187848334,0.9353904255957421,2.0922321303520697,0.7763159811028291,0.9334325535946674,-0.8363877312275666,0.294127323927215,1.1846920737195366,2.3841668038163872,1.443801297465829,527.183615127557,6.598315624632921
GCFR,E019S33,-33.5,19.5,42043,4318,2111.5,1.1970821619341208,1.0695350186359822,0.7610426201535128,0.5333540444893449,0.98392565735043,-0.1458698844574512,1.2018832349167208,0.5792606913274437,1.270316995141736,2.5500515201446468,-0.055646546694810395,1801.8447823148017,-5.377089560393555
GCFR,E020S32,-32.5,20.5,3811,949,378,1.594092976644319,-1.7744604865769467,0.48212587504352683,0.6819528889209261,-0.9704649434781966,1.4845600299892174,-0.9982998292812805,-1.1300763637919977,-1.1756700463156982,-1.368851111363325,3.238830033282888,-661.4289029020023,-2.0591688325611712
GCFR,E020S33,-33.5,20.5,15576,2958,1245.5,1.1634105706860067,0.7758895300656564,1.7596880581449033,0.005676462836577796,0.7812724271234709,-0.22731575691345363,1.5276005945130569,0.5136814808340467,0.8031901290594265,2.31831543216782,0.15224917387433815,495.40300835441167,9.420358229604801
GCFR,E021S33,-33.5,21.5,13569,2605,1119.25,1.2226887783363372,0.5399435676040111,1.5150322111771304,0.7001444213397731,0.9957455711815907,0.2896662146695298,1.2998054814452935,0.340824688565944,1.0519936395633378,2.532137005955851,0.6891541644444336,92.98513701177623,7.405283565588556
GCFR,E022S33,-33.5,22.5,17362,2952,1311,1.0631662291702368,1.2233386684514338,2.3054536420212646,1.481868070886421,1.7479587170258657,-0.4263579644581662,0.7583463009877519,1.054574486117549,1.6682044834085985,4.019024676884277,0.18273089107086316,96.33962771562796,-8.265642472313543
GCFR,E023S33,-33.5,23.5,10798,2146,892.5,0.5467394322948013,1.5076456329488348,2.5902157056672612,1.5453844439507256,1.9655647247716084,0.44920569063911653,-0.13496854511723338,1.4936574138692704,1.9703934191456924,4.385312605697484,0.5177166932751873,-794.3158605953685,-4.3100208414105365
