"","tnrs_cond","gnr_cond","consistent","submitted_name","tnrs_matched_name","number_gnr_matched_names","gnr_match_1","gnr_match_2","gnr_match_3","gnr_match_4"
"1",FALSE,FALSE,FALSE,"Acanthopsis dispermoides","Acanthopsis",2,"Acanthopsis Harv",NA,NA,NA
"2",FALSE,FALSE,FALSE,"Acanthopsis dregeana","Acanthopsis",2,"Acanthopsis Harv",NA,NA,NA
"3",FALSE,FALSE,FALSE,"Acanthopsis ludoviciana","Acanthopsis",2,"Acanthopsis Harv",NA,NA,NA
"4",FALSE,FALSE,FALSE,"Acanthopsis tuba","Acanthopsis",2,"Acanthopsis Harv",NA,NA,NA
"5",FALSE,FALSE,FALSE,"Acanthopsis villosa","Acanthopsis",2,"Acanthopsis Harv",NA,NA,NA
"6",FALSE,FALSE,FALSE,"Afrolimon dregeanum","Afrolimon",1,NA,NA,NA,NA
"7",FALSE,FALSE,FALSE,"Agathosma paralia","Agathosma",1,"Agathosma Willd",NA,NA,NA
"8",FALSE,FALSE,FALSE,"Agathosma serphyllacea","Agathosma serpyllacea",1,"Agathosma serpyllacea",NA,NA,NA
"9",FALSE,FALSE,FALSE,"Albuca glandulifera","Albuca",2,NA,"Albuca L",NA,NA
"10",FALSE,FALSE,FALSE,"Albuca grandis","Albuca",2,NA,"Albuca L",NA,NA
"11",FALSE,FALSE,FALSE,"Anemone anemonoides","Anemone",2,"Anemone L","Anemone sp",NA,NA
"12",FALSE,FALSE,FALSE,"Anemone brevistylis","Anemone brevistyla",1,"Anemone brevistyla",NA,NA,NA
"13",FALSE,FALSE,FALSE,"Anemone daucifolia","Anemone",2,"Anemone L","Anemone sp",NA,NA
"14",FALSE,FALSE,FALSE,"Anemone filia","Anemone felix",2,"Anemone L","Anemone sp",NA,NA
"15",FALSE,FALSE,FALSE,"Anemone vesicatoria","Anemone",2,"Anemone L","Anemone sp",NA,NA
"16",FALSE,FALSE,FALSE,"Anisodontea alexandrii","Anisodontea alexandri",1,"Anisodontea alexandri",NA,NA,NA
"17",FALSE,FALSE,FALSE,"Annesorhiza articulata","Annesorhiza",2,NA,"Annesorhiza Cham",NA,NA
"18",FALSE,FALSE,FALSE,"Annesorhiza asparagoides","Annesorhiza",2,NA,"Annesorhiza Cham",NA,NA
"19",FALSE,FALSE,FALSE,"Annesorhiza calcicola","Annesorhiza",2,NA,"Annesorhiza Cham",NA,NA
"20",FALSE,FALSE,FALSE,"Annesorhiza laticostata","Annesorhiza",2,NA,"Annesorhiza Cham",NA,NA
"21",FALSE,FALSE,FALSE,"Annesorhiza radiata","Annesorhiza",2,NA,"Annesorhiza Cham",NA,NA
"22",FALSE,FALSE,FALSE,"Annesorhiza refracta","Annesorhiza",2,NA,"Annesorhiza Cham",NA,NA
"23",FALSE,FALSE,FALSE,"Annesorhiza triternata","Annesorhiza",2,NA,"Annesorhiza Cham",NA,NA
"24",FALSE,FALSE,FALSE,"Antimima radicans","Antimima",2,NA,"Antimima N",NA,NA
"25",FALSE,FALSE,FALSE,"Argyroderma octophyllum","Argyroderma",2,NA,"Argyroderma N",NA,NA
"26",FALSE,FALSE,FALSE,"Aspalathus crewiana","Aspalathus",1,"Aspalathus L",NA,NA,NA
"27",FALSE,FALSE,FALSE,"Audouinia esterhuyseniae","Audouinia",3,"Audouinia Quatrefages",NA,"Audouinia Brongn",NA
"28",FALSE,FALSE,FALSE,"Audouinia hispida","Audouinia",3,"Audouinia Quatrefages",NA,"Audouinia Brongn",NA
"29",FALSE,FALSE,FALSE,"Audouinia laevis","Audouinia",3,"Audouinia Quatrefages",NA,"Audouinia Brongn",NA
"30",FALSE,FALSE,FALSE,"Audouinia laxa","Audouinia",3,"Audouinia Quatrefages",NA,"Audouinia Brongn",NA
"31",FALSE,FALSE,FALSE,"Berzelia albiflora","Berzelia",2,"Berzelia Brongn",NA,NA,NA
"32",FALSE,FALSE,FALSE,"Berzelia alopecurioides","Berzelia",2,"Berzelia Brongn",NA,NA,NA
"33",FALSE,FALSE,FALSE,"Berzelia stokoei","Berzelia",2,"Berzelia Brongn",NA,NA,NA
"34",FALSE,FALSE,FALSE,"Brachycorythis mac-owaniana","Brachycorythis macowaniana",1,"Brachycorythis macowaniana",NA,NA,NA
"35",FALSE,FALSE,FALSE,"Braunsia maximiliani","Braunsia",1,"Braunsia maximilianii",NA,NA,NA
"36",FALSE,FALSE,FALSE,"Brianhuntleya purpureostyla","Brianhuntleya",0,NA,NA,NA,NA
"37",FALSE,FALSE,FALSE,"Brianhuntleya quarcicola","Brianhuntleya",0,NA,NA,NA,NA
"38",FALSE,FALSE,FALSE,"Brunia angulata","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"39",FALSE,FALSE,FALSE,"Brunia barnardii","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"40",FALSE,FALSE,FALSE,"Brunia bullata","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"41",FALSE,FALSE,FALSE,"Brunia callunoides","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"42",FALSE,FALSE,FALSE,"Brunia cordata","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"43",FALSE,FALSE,FALSE,"Brunia dregeana","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"44",FALSE,FALSE,FALSE,"Brunia esterhuyseniae","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"45",FALSE,FALSE,FALSE,"Brunia fragarioides","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"46",FALSE,FALSE,FALSE,"Brunia latebracteata","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"47",FALSE,FALSE,FALSE,"Brunia monogyna","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"48",FALSE,FALSE,FALSE,"Brunia oblongifolia","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"49",FALSE,FALSE,FALSE,"Brunia palustris","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"50",FALSE,FALSE,FALSE,"Brunia pentandra","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"51",FALSE,FALSE,FALSE,"Brunia pillansii","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"52",FALSE,FALSE,FALSE,"Brunia powrieae","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"53",FALSE,FALSE,FALSE,"Brunia purpurea","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"54",FALSE,FALSE,FALSE,"Brunia schlechteri","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"55",FALSE,FALSE,FALSE,"Brunia sphaerocephala","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"56",FALSE,FALSE,FALSE,"Brunia thomae","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"57",FALSE,FALSE,FALSE,"Brunia tulbaghensis","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"58",FALSE,FALSE,FALSE,"Brunia variabilis","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"59",FALSE,FALSE,FALSE,"Brunia villosa","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"60",FALSE,FALSE,FALSE,"Brunia virgata","Brunia",4,NA,"Brunia Lam","Brunia AH","Brunia Moore"
"61",FALSE,FALSE,FALSE,"Calobota acanthoclada","Calobota",0,NA,NA,NA,NA
"62",FALSE,FALSE,FALSE,"Calobota angustifolia","Calobota",0,NA,NA,NA,NA
"63",FALSE,FALSE,FALSE,"Calobota elongata","Calobota",1,"Calosota elongata",NA,NA,NA
"64",FALSE,FALSE,FALSE,"Calobota psiloloba","Calobota",0,NA,NA,NA,NA
"65",FALSE,FALSE,FALSE,"Calobota pungens","Calobota",0,NA,NA,NA,NA
"66",FALSE,FALSE,FALSE,"Calobota sericea","Calobota",0,NA,NA,NA,NA
"67",FALSE,FALSE,FALSE,"Cannomois anfracta","Cannomois",2,NA,"Cannomois P",NA,NA
"68",FALSE,FALSE,FALSE,"Cannomois arenicola","Cannomois",2,NA,"Cannomois P",NA,NA
"69",FALSE,FALSE,FALSE,"Cannomois grandis","Cannomois",2,NA,"Cannomois P",NA,NA
"70",FALSE,FALSE,FALSE,"Cannomois primosii","Cannomois",2,NA,"Cannomois P",NA,NA
"71",FALSE,FALSE,FALSE,"Caroxylon tetrandrum","Caroxylon",1,"Caroxylon Thunb",NA,NA,NA
"72",FALSE,FALSE,FALSE,"Chaenostoma annuum","Chaenostoma",2,"Chaenostoma Benth",NA,NA,NA
"73",FALSE,FALSE,FALSE,"Chaetacme aristata","Chaetacme",1,"Chaetachme aristata",NA,NA,NA
"74",FALSE,FALSE,FALSE,"Chenopodium bontei","Chenopodium",2,NA,"Chenopodium L",NA,NA
"75",FALSE,FALSE,FALSE,"Chrysocoma schlecteri","Chrysocoma schlechteri",1,"Chrysocoma schlechteri",NA,NA,NA
"76",FALSE,FALSE,FALSE,"Cleomella lutea","Cleomella",1,"Cleomella DC",NA,NA,NA
"77",FALSE,FALSE,FALSE,"Cleretum apetalum","Cleretum",2,NA,"Cleretum N",NA,NA
"78",FALSE,FALSE,FALSE,"Cleretum booysenii","Cleretum",2,NA,"Cleretum N",NA,NA
"79",FALSE,FALSE,FALSE,"Cleretum clavatum","Cleretum",2,NA,"Cleretum N",NA,NA
"80",FALSE,FALSE,FALSE,"Cleretum hestermalense","Cleretum",2,NA,"Cleretum N",NA,NA
"81",FALSE,FALSE,FALSE,"Cleretum maughanii","Cleretum",2,NA,"Cleretum N",NA,NA
"82",FALSE,FALSE,FALSE,"Cleretum rourkei","Cleretum",2,NA,"Cleretum N",NA,NA
"83",FALSE,FALSE,FALSE,"Conophytum francoiseae","Conophytum",2,NA,"Conophytum N",NA,NA
"84",FALSE,FALSE,FALSE,"Conophytum hyracis","Conophytum",2,NA,"Conophytum N",NA,NA
"85",FALSE,FALSE,FALSE,"Conophytum pium","Conophytum pictum",2,NA,"Conophytum N",NA,NA
"86",FALSE,FALSE,FALSE,"Conophytum vanheerdii","Conophytum vanheerdei",1,"Conophytum vanheerdei",NA,NA,NA
"87",FALSE,FALSE,FALSE,"Corpuscularia taylori","Corpuscularia taylorii",2,NA,"Corpuscularia Schwantes",NA,NA
"88",FALSE,FALSE,FALSE,"Cotula fallax","Cotula",3,NA,"Cotula andreae","Cotula L",NA
"89",FALSE,FALSE,FALSE,"Crassula expensa","Crassula expansa",3,"Crassula L","Crassula aff","Crassula ssp",NA
"90",FALSE,FALSE,FALSE,"Crassula fragarioides","Crassula",3,"Crassula L","Crassula aff","Crassula ssp",NA
"91",FALSE,FALSE,FALSE,"Crotalaria meyeriana","Crotalaria meyerana",1,"Crotalaria meyerana",NA,NA,NA
"92",FALSE,FALSE,FALSE,"Curio sulcicalyx","Curio",2,"Curio P",NA,NA,NA
"93",FALSE,FALSE,FALSE,"Cynorhiza bolusii","Cynorhiza",2,NA,"Cynorhiza Eckl",NA,NA
"94",FALSE,FALSE,FALSE,"Cyperus austroafricanus","Cyperus austro-africanus",1,"Cyperus austro",NA,NA,NA
"95",FALSE,FALSE,FALSE,"Dasispermum grandicarpum","Dasispermum",2,NA,"Dasispermum Raf",NA,NA
"96",FALSE,FALSE,FALSE,"Dasispermum perennans","Dasispermum",2,NA,"Dasispermum Raf",NA,NA
"97",FALSE,FALSE,FALSE,"Dianthus kamisbergensis","Dianthus khamiesbergensis",1,"Dianthus khamiesbergensis",NA,NA,NA
"98",FALSE,FALSE,FALSE,"Diascia caitliniae","Diascia",2,NA,"Diascia Link",NA,NA
"99",FALSE,FALSE,FALSE,"Diascia ellaphieae","Diascia ellaphiae",2,NA,"Diascia Link",NA,NA
"100",FALSE,FALSE,FALSE,"Diascia longipes","Diascia",2,NA,"Diascia Link",NA,NA
"101",FALSE,FALSE,FALSE,"Dicliptera cernua","Dicliptera",1,"Dicliptera Juss",NA,NA,NA
"102",FALSE,FALSE,FALSE,"Diplosoma luckhoffii","Diplosoma",3,NA,"Diplosoma Schwantes","Diplosoma Macdonald",NA
"103",FALSE,FALSE,FALSE,"Drimia fimbrimarginata","Drimia",2,NA,"Drimia Jacq",NA,NA
"104",FALSE,FALSE,FALSE,"Drosanthemum exspersum","Drosanthemum expersum",3,NA,"Drosanthemum Schwantes","Drosanthemum Schwant",NA
"105",FALSE,FALSE,FALSE,"Drosanthemum salicola","Drosanthemum salicolum",1,"Drosanthemum salicolum",NA,NA,NA
"106",FALSE,FALSE,FALSE,"Drosanthemum vandermerwei","Drosanthemum vandermervei",1,"Drosanthemum vandermervei",NA,NA,NA
"107",FALSE,FALSE,FALSE,"Dyschoriste costata","Dyschoriste",1,"Dyschoriste Nees",NA,NA,NA
"108",FALSE,FALSE,FALSE,"Dyschoriste setigera","Dyschoriste",1,"Dyschoriste Nees",NA,NA,NA
"109",FALSE,FALSE,FALSE,"Elegia acockii","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"110",FALSE,FALSE,FALSE,"Elegia aggregata","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"111",FALSE,FALSE,FALSE,"Elegia decipiens","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"112",FALSE,FALSE,FALSE,"Elegia ebracteata","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"113",FALSE,FALSE,FALSE,"Elegia elephantina","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"114",FALSE,FALSE,FALSE,"Elegia hookeriana","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"115",FALSE,FALSE,FALSE,"Elegia macrocarpa","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"116",FALSE,FALSE,FALSE,"Elegia marlothii","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"117",FALSE,FALSE,FALSE,"Elegia microcarpa","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"118",FALSE,FALSE,FALSE,"Elegia recta","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"119",FALSE,FALSE,FALSE,"Elegia tectorum","Elegia",3,NA,"Elegia L","Elegia Ragonot",NA
"120",FALSE,FALSE,FALSE,"Erepsia villiersii","Erepsia villersii",1,"Erepsia villersii",NA,NA,NA
"121",FALSE,FALSE,FALSE,"Erica azaleifolia","Erica azaleaefolia",1,"Erica azaleaefolia",NA,NA,NA
"122",FALSE,FALSE,FALSE,"Erica blandfordii","Erica blandfordia",1,"Erica blandfordia",NA,NA,NA
"123",FALSE,FALSE,FALSE,"Erica cristaeflora","Erica cristiflora",3,NA,"Erica L","Erica Peckham",NA
"124",FALSE,FALSE,FALSE,"Erica greyi","Erica greyii",1,"Erica greyii",NA,NA,NA
"125",FALSE,FALSE,FALSE,"Erica harveyana","Erica harvieana",1,"Erica harvieana",NA,NA,NA
"126",FALSE,FALSE,FALSE,"Erica hibbertia","Erica hibbertii",1,"Erica hibbertii",NA,NA,NA
"127",FALSE,FALSE,FALSE,"Erica lawsonii","Erica lawsonia",1,"Erica lawsonia",NA,NA,NA
"128",FALSE,FALSE,FALSE,"Erica maximiliani","Erica maximilianii",1,"Erica maximilianii",NA,NA,NA
"129",FALSE,FALSE,FALSE,"Erica passerina","Erica passerinae",1,"Erica passerinae",NA,NA,NA
"130",FALSE,FALSE,FALSE,"Erica pillarkopensis","Erica pilaarkopensis",1,"Erica pilaarkopensis",NA,NA,NA
"131",FALSE,FALSE,FALSE,"Erica savileae","Erica savilea",3,NA,"Erica L","Erica Peckham",NA
"132",FALSE,FALSE,FALSE,"Erica shannonii","Erica shannonea",1,"Erica shannonea",NA,NA,NA
"133",FALSE,FALSE,FALSE,"Erica sicifolia","Erica sicaefolia",1,"Erica sicaefolia",NA,NA,NA
"134",FALSE,FALSE,FALSE,"Erica walkeri","Erica walkeria",3,NA,"Erica L","Erica Peckham",NA
"135",FALSE,FALSE,FALSE,"Esterhuysenia grahambeckii","Esterhuysenia",2,NA,"Esterhuysenia L",NA,NA
