"","tnrs_cond","gnr_cond","consistent","submitted_name","tnrs_matched_name","number_gnr_matched_names","gnr_match_1","gnr_match_2","gnr_match_3","gnr_match_4","gnr_match_5","gnr_match_6","gnr_match_7","gnr_match_8"
"1",FALSE,FALSE,FALSE,"Acacia adjutrices","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"2",FALSE,FALSE,FALSE,"Acacia aptaneura","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"3",FALSE,FALSE,FALSE,"Acacia bartlei","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"4",FALSE,FALSE,FALSE,"Acacia besleyi","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"5",FALSE,FALSE,FALSE,"Acacia caesaneura","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"6",FALSE,FALSE,FALSE,"Acacia collegialis","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"7",FALSE,FALSE,FALSE,"Acacia doreta","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"8",FALSE,FALSE,FALSE,"Acacia fraternalis","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"9",FALSE,FALSE,FALSE,"Acacia fuscaneura","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"10",FALSE,FALSE,FALSE,"Acacia gibsonii","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"11",FALSE,FALSE,FALSE,"Acacia haematites","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"12",FALSE,FALSE,FALSE,"Acacia incurvaneura","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"13",FALSE,FALSE,FALSE,"Acacia keigheryi","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"14",FALSE,FALSE,FALSE,"Acacia kulinensis","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"15",FALSE,FALSE,FALSE,"Acacia lapidosa","Acacia lepidota",1,"Acacia lepidota",NA,NA,NA,NA,NA,NA,NA
"16",FALSE,FALSE,FALSE,"Acacia macraneura","Acacia microneura",1,"Acacia microneura",NA,NA,NA,NA,NA,NA,NA
"17",FALSE,FALSE,FALSE,"Acacia microbotrys","Acacia microbotrya",1,"Acacia microbotrya",NA,NA,NA,NA,NA,NA,NA
"18",FALSE,FALSE,FALSE,"Acacia mulganeura","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"19",FALSE,FALSE,FALSE,"Acacia neorigida","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"20",FALSE,FALSE,FALSE,"Acacia parkerae","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"21",FALSE,FALSE,FALSE,"Acacia pteraneura","Acacia paraneura",1,"Acacia paraneura",NA,NA,NA,NA,NA,NA,NA
"22",FALSE,FALSE,FALSE,"Acacia shapelleae","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"23",FALSE,FALSE,FALSE,"Acacia thieleana","Acacia",2,"Acacia Mill","Acacia P",NA,NA,NA,NA,NA,NA
"24",FALSE,FALSE,FALSE,"Acrotriche orbicularis","Acrotriche",2,NA,"Acrotriche R",NA,NA,NA,NA,NA,NA
"25",FALSE,FALSE,FALSE,"Actinobole oldfieldianum","Actinobole",1,"Actinobole oldfieldiana",NA,NA,NA,NA,NA,NA,NA
"26",FALSE,FALSE,FALSE,"Actinotus repens","Actinotus",2,NA,"Actinotus Labill",NA,NA,NA,NA,NA,NA
"27",FALSE,FALSE,FALSE,"Adenanthos cunninghamii","Adenanthos",2,"Adenanthos Labill",NA,NA,NA,NA,NA,NA,NA
