"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Abelmoschus moschatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Malvaceae";"Terrestrial";
"Abrus precatorius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia farnesiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia longifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia mangium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia mearnsii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia melanoxylon";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia retinodes";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia saligna";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acanthus mollis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Adenanthera pavonina";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Agapanthus praecox";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Agave americana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Agave sisalana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Ageratina adenophora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ageratina riparia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ageratum conyzoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Agrostis capillaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ailanthus altissima";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Simaroubaceae";"Terrestrial";
"Alnus glutinosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Terrestrial";
"Alternanthera philoxeroides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Alternanthera sessilis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Ambrosia artemisiifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ammophila arenaria";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Andropogon virginicus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Angiopteris evecta";"Plantae";"Pteridophyta";"Filicopsida";"Marattiales";"Marattiaceae";"Terrestrial";
"Annona glabra";"Plantae";"Magnoliophyta";"Magnoliopsida";"Magnoliales";"Annonaceae";"Terrestrial";
"Anredera cordifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Basellaceae";"Terrestrial";
"Archontophoenix cunninghamiana";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Ardisia crenata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Ardisia elliptica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Arundo donax";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Asparagus densiflorus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Asparagus officinalis";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Austroeupatorium inulifolium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Eupatorieae";"Terrestrial";
"Azolla pinnata";"Plantae";"Pteridophyta";"Filicopsida";"Hydropteridales";"Azollaceae";"Terrestrial";
"Bacopa monnieri";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Bambusa vulgaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Berberis darwinii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Berberis thunbergii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Bidens pilosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Bothriochloa pertusa";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Brassica tournefortii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Bromus rubens";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Bromus tectorum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Buddleja davidii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Buddlejaceae";"Terrestrial";
"Buddleja madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Buddlejaceae";"Terrestrial";
"Cabomba caroliniana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Cabombaceae";"Terrestrial";
"Caesalpinia decapetala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Calluna vulgaris";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ericales";"Ericaceae";"Terrestrial";
"Camelina sativa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Canna indica";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Cannaceae";"Terrestrial";
"Cardamine flexuosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Cardiospermum grandiflorum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Terrestrial";
"Carduus nutans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Carpobrotus edulis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Aizoaceae";"Terrestrial";
"Casuarina equisetifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Casuarinales";"Casuarinaceae";"Terrestrial";
"Cecropia peltata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Cecropiaceae";"Terrestrial";
"Cenchrus ciliaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus clandestinus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus echinatus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus macrourus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus polystachios";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cerastium fontanum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Terrestrial";
"Ceratophyllum demersum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Ceratophyllaceae";"Terrestrial";
"Cestrum nocturnum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Cestrum parqui";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Terrestrial";
"Chromolaena odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Chrysanthemoides monilifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cinnamomum camphora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Cirsium arvense";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Citharexylum spinosum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Colubrina asiatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
"Commelina benghalensis";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Coronilla varia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Cortaderia jubata";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cortaderia selloana";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Crassula helmsii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Crassulaceae";"Terrestrial";
"Cryptostegia grandiflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cryptostegia madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cupaniopsis anacardioides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Terrestrial";
"Cyathea cooperi";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"Cyatheaceae";"Terrestrial";
"Cynara cardunculus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cynodon dactylon";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cyperus rotundus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Cyperaceae";"Terrestrial";
"Cytisus scoparius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Dalbergia sissoo";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Delairea odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Dioscorea bulbifera";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Dioscoreaceae";"Terrestrial";
"Dipogon lignosus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Egeria densa";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Eichhornia crassipes";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Pontederiaceae";"Terrestrial";
"Elodea canadensis";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Epipremnum pinnatum";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Erodium cicutarium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Terrestrial";
"Eugenia uniflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Ficus microcarpus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Ficus rubiginosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Genista monspessulana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Glyceria maxima";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Gunnera manicata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Haloragales";"Gunneraceae";"Terrestrial";
