resolution,variable,CLES_value,P_U
base,Elevation,0.9433501455016338,0
base,MAP,0.8076050886580851,0
base,PDQ,0.8416222778550027,0
base,Surface.T,0.7982682052989493,0
base,NDVI,0.5572744602048855,2.8292832513242587e-43
base,CEC,0.6852209736255866,0
base,Clay,0.6101241758544583,5.791328871928601e-155
base,Soil.C,0.7371179052324561,0
base,pH,0.6802404326560346,0
base,PC1,0.856079498650042,0
EDS,Elevation,0.9587582677651714,0
EDS,MAP,0.7485142631024212,7.427782972489064e-208
EDS,PDQ,0.8530305761001052,0
EDS,Surface.T,0.8292253635334689,0
EDS,NDVI,0.5820279635272075,3.1449760453039417e-24
EDS,CEC,0.6933429453903728,1.2942550776786361e-126
EDS,Clay,0.6203587203892658,3.272935309741208e-50
EDS,Soil.C,0.750025454464431,2.2954172709313975e-210
EDS,pH,0.6924570454149952,1.7844054455209793e-125
EDS,PC1,0.8630077390033188,0
QDS,Elevation,0.9602473163145318,1.7007682379665362e-131
QDS,MAP,0.667041771506362,8.314077189313692e-19
QDS,PDQ,0.8535068087850396,2.27979308823999e-78
QDS,Surface.T,0.8100494379749397,1.0329058691673363e-60
QDS,NDVI,0.6063211487480349,1.734611671484655e-8
QDS,CEC,0.7096857127202687,1.0425405574099448e-28
QDS,Clay,0.6036785562256867,3.87446144649231e-8
QDS,Soil.C,0.709179953385848,1.4074058693321273e-28
QDS,pH,0.6856958616242461,7.226455910909214e-23
QDS,PC1,0.8500297133608972,7.164382783538106e-77
HDS,Elevation,0.9674647022713321,2.4955746796900497e-40
HDS,MAP,0.6012379783098015,0.003994849760524483
HDS,PDQ,0.8473501125434827,5.1749041433799256e-23
HDS,Surface.T,0.7391037446286065,1.0491753993321717e-11
HDS,NDVI,0.6075813382443217,0.002220928856273851
HDS,CEC,0.6675874769797422,1.882876067839383e-6
HDS,Clay,0.6900961735215879,6.452984032590928e-8
HDS,Soil.C,0.6361776140781665,1.0782128912190554e-4
HDS,pH,0.7093308778391652,2.6355529879320182e-9
HDS,PC1,0.8103642316349499,1.0819603433772682e-18
3QDS,Elevation,0.9805709754163362,4.837833497392253e-22
3QDS,MAP,0.580293417922284,0.10719553737639129
3QDS,PDQ,0.8554718477398889,9.42460161307027e-13
3QDS,Surface.T,0.5761300555114988,0.1266877659043201
3QDS,NDVI,0.5850515463917526,0.08791357301488775
3QDS,CEC,0.6003172085646312,0.044097450910860536
3QDS,Clay,0.7769627279936558,2.6733130571350825e-8
3QDS,Soil.C,0.5394528152260111,0.4292183050792999
3QDS,pH,0.6677240285487708,7.593015671565636e-4
3QDS,PC1,0.7386994448850119,1.6434071030801624e-6
