response,term,estimate,p.value,conf.low.05,conf.high.05,conf.low.01,conf.high.01
QDS_richness,(Intercept),2.241,< 0.001,2.17,2.313,2.147,2.335
QDS_richness,Elevation,0.019,0.546,-0.043,0.082,-0.063,0.102
QDS_richness,MAP,0.147,< 0.001,0.109,0.184,0.098,0.196
QDS_richness,PDQ,0.033,0.232,-0.021,0.088,-0.039,0.105
QDS_richness,NDVI,0.119,< 0.001,0.062,0.176,0.045,0.194
QDS_richness,CEC,0.029,0.252,-0.02,0.077,-0.036,0.093
QDS_richness,Clay,0.048,0.003,0.016,0.079,0.006,0.089
QDS_richness,pH,-0.028,0.121,-0.064,0.008,-0.075,0.019
QDS_richness,regionSWAFR,0.237,< 0.001,0.15,0.323,0.123,0.351
QDS_richness,Elevation:regionSWAFR,0.082,0.053,-0.001,0.166,-0.027,0.192
QDS_richness,PDQ:regionSWAFR,0.084,0.028,0.009,0.159,-0.014,0.183
QDS_richness,NDVI:regionSWAFR,-0.097,0.007,-0.168,-0.027,-0.19,-0.005
QDS_richness,CEC:regionSWAFR,-0.057,0.078,-0.12,0.006,-0.14,0.026
HDS_richness,(Intercept),2.75,< 0.001,2.644,2.856,2.61,2.89
HDS_richness,Elevation,-0.053,0.212,-0.138,0.031,-0.164,0.058
HDS_richness,MAP,0.091,0.002,0.033,0.148,0.015,0.166
HDS_richness,PDQ,0.075,0.015,0.015,0.135,-0.004,0.154
HDS_richness,NDVI,0.093,0.001,0.037,0.15,0.019,0.168
HDS_richness,CEC,-0.04,0.117,-0.09,0.01,-0.106,0.026
HDS_richness,Clay,0.065,0.005,0.02,0.11,0.006,0.124
HDS_richness,Soil_C,0.056,0.228,-0.035,0.147,-0.064,0.176
HDS_richness,pH,-0.06,0.089,-0.129,0.009,-0.151,0.031
HDS_richness,regionSWAFR,0.109,0.1,-0.021,0.239,-0.062,0.28
HDS_richness,Elevation:regionSWAFR,0.125,0.038,0.007,0.243,-0.03,0.28
HDS_richness,Soil_C:regionSWAFR,-0.099,0.071,-0.206,0.008,-0.24,0.043
HDS_richness,pH:regionSWAFR,0.067,0.159,-0.027,0.162,-0.057,0.191
DS_richness,(Intercept),3.383,< 0.001,3.204,3.562,3.143,3.622
DS_richness,Elevation,-0.401,< 0.001,-0.594,-0.209,-0.658,-0.144
DS_richness,MAP,-0.03,0.791,-0.261,0.2,-0.338,0.277
DS_richness,PDQ,0.182,0.009,0.047,0.316,0.002,0.361
DS_richness,Surface_T,0.173,0.002,0.069,0.277,0.034,0.312
DS_richness,NDVI,0.11,0.189,-0.056,0.277,-0.112,0.333
DS_richness,CEC,0.092,0.026,0.012,0.172,-0.015,0.198
DS_richness,Clay,0.276,0.001,0.121,0.431,0.069,0.483
DS_richness,Soil_C,-0.059,0.091,-0.127,0.01,-0.15,0.033
DS_richness,pH,-0.149,0.051,-0.298,0.001,-0.348,0.051
DS_richness,regionSWAFR,-0.167,0.086,-0.359,0.025,-0.423,0.089
DS_richness,Elevation:regionSWAFR,0.446,< 0.001,0.239,0.653,0.17,0.722
DS_richness,MAP:regionSWAFR,0.224,0.065,-0.015,0.463,-0.095,0.543
DS_richness,PDQ:regionSWAFR,-0.105,0.202,-0.27,0.059,-0.325,0.114
DS_richness,Surface_T:regionSWAFR,-0.185,0.012,-0.326,-0.044,-0.374,0.004
DS_richness,NDVI:regionSWAFR,-0.249,0.014,-0.444,-0.054,-0.51,0.012
DS_richness,CEC:regionSWAFR,-0.088,0.141,-0.207,0.03,-0.247,0.07
DS_richness,Clay:regionSWAFR,-0.144,0.088,-0.311,0.022,-0.367,0.078
DS_richness,pH:regionSWAFR,0.145,0.079,-0.018,0.307,-0.072,0.361
