variable,scale,outliers,model_type,slope,slope_sig,quadratic_coeff,quadratic_sig,best_model,delta_AIC,delta_AIC_sig
CEC,DS,all_data,linear,  19.40, , , ,*,0.00, 
CEC,DS,all_data,quadratic,  10.05, , -81.21, , ,0.86, 
CEC,DS,sans_PC1,linear, -86.79, , , , ,3.31,*
CEC,DS,sans_PC1,quadratic,-124.67, ,-147.34,*,*,0.00, 
CEC,DS,sans_MV,linear,  26.88, , , ,*,0.00, 
CEC,DS,sans_MV,quadratic,  19.70, , -60.84, , ,1.27, 
Clay,DS,all_data,linear,405.76,***, , ,*,0.00, 
Clay,DS,all_data,quadratic,428.54,**, 17.00, , ,1.91, 
Clay,DS,sans_PC1,linear,318.45,**, , ,*,0.00, 
Clay,DS,sans_PC1,quadratic,274.33,*,-29.52, , ,1.61, 
Clay,DS,sans_MV,linear,355.15,**, , ,*,0.00, 
Clay,DS,sans_MV,quadratic,344.99,*, -7.32, , ,1.98, 
Elevation,DS,all_data,linear,289.45,**, , ,*, 0.00, 
Elevation,DS,all_data,quadratic,289.63,**, -2.21, , , 2.00, 
Elevation,DS,sans_PC1,linear,193.46,*, , ,*, 0.00, 
Elevation,DS,sans_PC1,quadratic,194.33,*,-42.65, , , 1.59, 
Elevation,DS,sans_MV,linear,237.46,*, , ,*, 0.00, 
Elevation,DS,sans_MV,quadratic,239.15,*,-36.40, , , 1.76, 
MAP,DS,all_data,linear,535.37,***, , ,*, 0.00, 
MAP,DS,all_data,quadratic,538.19,***,-33.35, , , 1.79, 
MAP,DS,sans_PC1,linear,480.62,***, , ,*, 0.00, 
MAP,DS,sans_PC1,quadratic,482.78,***,-24.24, , , 1.81, 
MAP,DS,sans_MV,linear,500.10,***, , ,*, 0.00, 
MAP,DS,sans_MV,quadratic,502.93,***,-33.55, , , 1.75, 
NDVI,DS,all_data,linear,400.57,**, , ,*,0.00, 
NDVI,DS,all_data,quadratic,348.59,*, 77.10, , ,1.62, 
NDVI,DS,sans_PC1,linear,380.90,***, , ,*,0.00, 
NDVI,DS,sans_PC1,quadratic,307.95,*,112.61, , ,0.73, 
NDVI,DS,sans_MV,linear,334.91,**, , ,*,0.00, 
NDVI,DS,sans_MV,quadratic,304.14,*, 46.81, , ,1.84, 
PC1,DS,all_data,linear,247.54,***, , ,*,0.00, 
PC1,DS,all_data,quadratic,229.99,***,24.18, , ,0.83, 
PC1,DS,sans_PC1,linear,213.23,***, , ,*,0.00, 
PC1,DS,sans_PC1,quadratic,213.00,***, 0.30, , ,2.00, 
PC1,DS,sans_MV,linear,222.18,***, , ,*,0.00, 
PC1,DS,sans_MV,quadratic,209.51,***,18.42, , ,1.25, 
PDQ,DS,all_data,linear,441.91,***, , ,*,0.00, 
PDQ,DS,all_data,quadratic,428.98,***,18.60, , ,1.89, 
PDQ,DS,sans_PC1,linear,366.30,***, , ,*,0.00, 
PDQ,DS,sans_PC1,quadratic,340.34,***,37.20, , ,1.37, 
PDQ,DS,sans_MV,linear,400.87,***, , ,*,0.00, 
PDQ,DS,sans_MV,quadratic,387.22,***,19.60, , ,1.87, 
pH,DS,all_data,linear,162.20, , , , ,3.18,*
pH,DS,all_data,quadratic,155.87, ,-182.44,*,*,0.00, 
pH,DS,sans_PC1,linear,118.68, , , , ,4.86,*
pH,DS,sans_PC1,quadratic,118.41, ,-172.16,*,*,0.00, 
pH,DS,sans_MV,linear,121.16, , , , ,3.99,*
pH,DS,sans_MV,quadratic,114.82, ,-182.48,*,*,0.00, 
Soil_C,DS,all_data,linear,239.43,*, , ,*,0.00, 
Soil_C,DS,all_data,quadratic,285.66,*,85.77, , ,0.66, 
Soil_C,DS,sans_PC1,linear,179.02,., , ,*,0.00, 
Soil_C,DS,sans_PC1,quadratic,208.15,.,51.91, , ,1.30, 
Soil_C,DS,sans_MV,linear,204.65,., , ,*,0.00, 
Soil_C,DS,sans_MV,quadratic,248.52,*,80.86, , ,0.63, 
Surface_T,DS,all_data,linear,244.66,*, , ,*, 0.00, 
Surface_T,DS,all_data,quadratic,246.89,*,  3.74, , , 2.00, 
Surface_T,DS,sans_PC1,linear,213.53,*, , ,*, 0.00, 
Surface_T,DS,sans_PC1,quadratic,199.03,.,-23.30, , , 1.83, 
Surface_T,DS,sans_MV,linear,245.38,*, , ,*, 0.00, 
Surface_T,DS,sans_MV,quadratic,256.64,*, 18.88, , , 1.91, 
CEC,DS_log10,all_data,linear,   0.00, , , ,*,1.90, 
CEC,DS_log10,all_data,quadratic,   0.00, ,  -0.05,., ,0.00, 
CEC,DS_log10,sans_PC1,linear,  -0.02, , , , ,5.39,*
CEC,DS_log10,sans_PC1,quadratic,  -0.03, ,  -0.06,**,*,0.00, 
CEC,DS_log10,sans_MV,linear,   0.00, , , ,*,1.43, 
CEC,DS_log10,sans_MV,quadratic,   0.00, ,  -0.04,., ,0.00, 
Clay,DS_log10,all_data,linear,  0.15,***, , ,*,0.00, 
Clay,DS_log10,all_data,quadratic,  0.13,**, -0.02, , ,0.68, 
Clay,DS_log10,sans_PC1,linear,  0.15,***, , ,*,0.52, 
Clay,DS_log10,sans_PC1,quadratic,  0.11,*, -0.03, , ,0.00, 
Clay,DS_log10,sans_MV,linear,  0.15,***, , ,*,0.00, 
Clay,DS_log10,sans_MV,quadratic,  0.11,**, -0.02, , ,0.06, 
Elevation,DS_log10,all_data,linear,  0.07,*, , ,*, 0.00, 
Elevation,DS_log10,all_data,quadratic,  0.08,*, -0.01, , , 1.81, 
Elevation,DS_log10,sans_PC1,linear,  0.06,., , ,*, 0.00, 
Elevation,DS_log10,sans_PC1,quadratic,  0.06,., -0.02, , , 1.50, 
Elevation,DS_log10,sans_MV,linear,  0.07,*, , ,*, 0.00, 
Elevation,DS_log10,sans_MV,quadratic,  0.07,*, -0.02, , , 1.54, 
MAP,DS_log10,all_data,linear,  0.17,***, , ,*, 1.68, 
MAP,DS_log10,all_data,quadratic,  0.17,***, -0.04,., , 0.00, 
MAP,DS_log10,sans_PC1,linear,  0.17,***, , ,*, 1.89, 
MAP,DS_log10,sans_PC1,quadratic,  0.17,***, -0.04,., , 0.00, 
MAP,DS_log10,sans_MV,linear,  0.17,***, , ,*, 1.76, 
MAP,DS_log10,sans_MV,quadratic,  0.17,***, -0.04,., , 0.00, 
NDVI,DS_log10,all_data,linear,  0.11,*, , ,*,0.00, 
NDVI,DS_log10,all_data,quadratic,  0.09,.,  0.03, , ,1.58, 
NDVI,DS_log10,sans_PC1,linear,  0.11,**, , ,*,0.00, 
NDVI,DS_log10,sans_PC1,quadratic,  0.08,.,  0.03, , ,1.14, 
NDVI,DS_log10,sans_MV,linear,  0.10,*, , ,*,0.00, 
NDVI,DS_log10,sans_MV,quadratic,  0.08,.,  0.02, , ,1.72, 
PC1,DS_log10,all_data,linear,  0.07,***, , ,*,0.00, 
PC1,DS_log10,all_data,quadratic,  0.07,***, 0.00, , ,2.00, 
PC1,DS_log10,sans_PC1,linear,  0.07,***, , ,*,0.00, 
PC1,DS_log10,sans_PC1,quadratic,  0.08,***,-0.01, , ,1.39, 
PC1,DS_log10,sans_MV,linear,  0.07,***, , ,*,0.00, 
PC1,DS_log10,sans_MV,quadratic,  0.07,***, 0.00, , ,1.99, 
PDQ,DS_log10,all_data,linear,  0.13,***, , ,*,0.00, 
PDQ,DS_log10,all_data,quadratic,  0.13,***, 0.00, , ,1.98, 
PDQ,DS_log10,sans_PC1,linear,  0.12,***, , ,*,0.00, 
PDQ,DS_log10,sans_PC1,quadratic,  0.11,***, 0.00, , ,2.00, 
PDQ,DS_log10,sans_MV,linear,  0.12,***, , ,*,0.00, 
PDQ,DS_log10,sans_MV,quadratic,  0.12,***, 0.00, , ,1.98, 
pH,DS_log10,all_data,linear,  0.05, , , , ,5.31,*
pH,DS_log10,all_data,quadratic,  0.05, ,  -0.07,**,*,0.00, 
pH,DS_log10,sans_PC1,linear,  0.04, , , , ,5.78,*
pH,DS_log10,sans_PC1,quadratic,  0.04, ,  -0.07,**,*,0.00, 
pH,DS_log10,sans_MV,linear,  0.04, , , , ,5.55,*
pH,DS_log10,sans_MV,quadratic,  0.04, ,  -0.07,**,*,0.00, 
Soil_C,DS_log10,all_data,linear,  0.07,., , ,*,0.00, 
Soil_C,DS_log10,all_data,quadratic,  0.08,*, 0.03, , ,0.53, 
Soil_C,DS_log10,sans_PC1,linear,  0.06, , , ,*,0.00, 
Soil_C,DS_log10,sans_PC1,quadratic,  0.07,., 0.02, , ,1.07, 
Soil_C,DS_log10,sans_MV,linear,  0.06, , , ,*,0.00, 
Soil_C,DS_log10,sans_MV,quadratic,  0.07,., 0.03, , ,0.58, 
Surface_T,DS_log10,all_data,linear,  0.06,., , ,*, 0.00, 
Surface_T,DS_log10,all_data,quadratic,  0.06, , -0.01, , , 1.89, 
Surface_T,DS_log10,sans_PC1,linear,  0.06, , , ,*, 0.00, 
Surface_T,DS_log10,sans_PC1,quadratic,  0.05, , -0.01, , , 1.59, 
Surface_T,DS_log10,sans_MV,linear,  0.06,., , ,*, 0.00, 
Surface_T,DS_log10,sans_MV,quadratic,  0.06, ,  0.00, , , 1.96, 
CEC,HDS,all_data,linear,  10.64, , , ,*,0.00, 
CEC,HDS,all_data,quadratic,  18.05, ,  24.82, , ,1.15, 
CEC,HDS,sans_PC1,linear, -19.40, , , ,*,0.51, 
CEC,HDS,sans_PC1,quadratic,  -8.52, ,  36.04, , ,0.00, 
CEC,HDS,sans_MV,linear, -15.61, , , ,*,0.28, 
CEC,HDS,sans_MV,quadratic,  -5.04, ,  34.89, , ,0.00, 
Clay,HDS,all_data,linear,129.72,***, , ,*,1.27, 
Clay,HDS,all_data,quadratic,172.58,***, 17.95,., ,0.00, 
Clay,HDS,sans_PC1,linear,116.82,***, , ,*,1.85, 
Clay,HDS,sans_PC1,quadratic,157.18,***, 16.45,., ,0.00, 
Clay,HDS,sans_MV,linear,113.11,***, , ,*,1.26, 
Clay,HDS,sans_MV,quadratic,150.83,***, 15.40,., ,0.00, 
Elevation,HDS,all_data,linear,119.29,**, , , , 2.33,*
Elevation,HDS,all_data,quadratic,112.91,**, 62.55,*,*, 0.00, 
Elevation,HDS,sans_PC1,linear,112.88,***, , ,*, 0.14, 
Elevation,HDS,sans_PC1,quadratic,108.29,***, 38.76, , , 0.00, 
Elevation,HDS,sans_MV,linear,115.53,***, , ,*, 0.00, 
Elevation,HDS,sans_MV,quadratic,111.35,***, 35.64, , , 0.24, 
