scale,region,lon,lat,QDS,HDS,DS,is_PC1_outlier,is_MV_outlier
QDS,GCFR,18.075,-32.775,E018S32CC, , , ,*
QDS,GCFR,26.325,-33.525,E026S33CB, , ,*, 
QDS,GCFR,19.075,-34.275,E019S34AC, , ,*, 
QDS,SWAFR,115.025,-29.875,E115S29CC, , , ,*
QDS,SWAFR,115.025,-30.125,E115S30AA, , , ,*
QDS,SWAFR,115.025,-30.375,E115S30AC, , , ,*
QDS,SWAFR,115.775,-31.875,E115S31DD, , ,*,*
QDS,SWAFR,115.775,-32.125,E115S32BB, , ,*,*
QDS,SWAFR,115.775,-33.125,E115S33BB, , ,*, 
QDS,SWAFR,115.275,-33.625,E115S33CB, , ,*,*
QDS,SWAFR,120.025,-33.875,E120S33CC, , , ,*
HDS,SWAFR,115.65,-31.75, ,E115S31D, ,*, 
DS,GCFR,17.95,-29.65, , ,E017S29, ,*
DS,GCFR,19.95,-33.65, , ,E019S33, ,*
DS,GCFR,20.95,-34.65, , ,E020S34,*, 
DS,SWAFR,119.4,-32, , ,E119S32, ,*
