response,term,estimate,p.value,conf.low.05,conf.high.05,conf.low.01,conf.high.01
QDS_richness,(Intercept),296.03,< 0.001,255.106,336.953,242.204,349.855
QDS_richness,Clay,27.402,0.005,8.178,46.625,2.117,52.686
QDS_richness,regionSWAFR,106.366,< 0.001,56.804,155.928,41.178,171.554
QDS_richness,regionGCFR:Elevation,13.958,0.462,-23.268,51.185,-35.005,62.922
QDS_richness,regionSWAFR:Elevation,56.398,0.001,23.233,89.563,12.777,100.02
QDS_richness,regionGCFR:MAP,157.054,< 0.001,111.722,202.386,97.43,216.678
QDS_richness,regionSWAFR:MAP,100.526,< 0.001,74.829,126.222,66.728,134.324
QDS_richness,regionGCFR:PDQ,4.165,0.812,-30.279,38.61,-41.138,49.469
QDS_richness,regionSWAFR:PDQ,69.17,< 0.001,36.973,101.367,26.822,111.518
QDS_richness,regionGCFR:NDVI,69.576,< 0.001,35.639,103.512,24.94,114.211
QDS_richness,regionSWAFR:NDVI,12.382,0.383,-15.475,40.238,-24.257,49.02
QDS_richness,regionGCFR:CEC,20.021,0.175,-8.958,49.001,-18.095,58.137
QDS_richness,regionSWAFR:CEC,-13.411,0.273,-37.42,10.598,-44.99,18.168
QDS_richness,regionGCFR:pH,-57.449,0.001,-92.069,-22.828,-102.984,-11.913
QDS_richness,regionSWAFR:pH,-6.193,0.634,-31.749,19.363,-39.806,27.42
HDS_richness,(Intercept),829.526,< 0.001,672.907,986.145,623.042,1036.01
HDS_richness,NDVI,160.908,< 0.001,82.245,239.571,57.199,264.617
HDS_richness,Clay,88.457,0.006,26.173,150.742,6.342,170.572
HDS_richness,regionSWAFR,51.386,0.577,-129.714,232.486,-187.375,290.146
HDS_richness,regionGCFR:Elevation,-55.465,0.349,-171.855,60.924,-208.912,97.981
HDS_richness,regionSWAFR:Elevation,96.02,0.103,-19.489,211.529,-56.265,248.305
HDS_richness,regionGCFR:MAP,335.161,< 0.001,167.503,502.819,114.123,556.199
HDS_richness,regionSWAFR:MAP,124.3,0.007,34.546,214.055,5.969,242.631
HDS_richness,regionGCFR:PDQ,-76.019,0.305,-221.797,69.758,-268.211,116.172
HDS_richness,regionSWAFR:PDQ,124.837,0.025,15.457,234.217,-19.368,269.042
HDS_richness,regionGCFR:CEC,63.317,0.328,-63.92,190.553,-104.431,231.064
HDS_richness,regionSWAFR:CEC,-44.393,0.287,-126.409,37.623,-152.522,63.736
HDS_richness,regionGCFR:Soil_C,71.03,0.278,-57.615,199.676,-98.574,240.635
HDS_richness,regionSWAFR:Soil_C,-57.086,0.249,-154.499,40.328,-185.515,71.343
HDS_richness,regionGCFR:pH,-127.87,0.009,-223.641,-32.099,-254.133,-1.607
HDS_richness,regionSWAFR:pH,-7.479,0.869,-96.716,81.759,-125.129,110.171
DS_richness,(Intercept),3090.424,< 0.001,2608.608,3572.24,2446.527,3734.321
DS_richness,MAP,462.553,0.001,202.766,722.341,115.374,809.733
DS_richness,NDVI,-237.699,0.05,-475.188,-0.211,-555.078,79.679
DS_richness,Soil_C,-194.997,0.036,-376.594,-13.399,-437.683,47.69
DS_richness,regionSWAFR,-1362.806,< 0.001,-1870.126,-855.486,-2040.787,-684.825
DS_richness,regionGCFR:Elevation,-1849.929,< 0.001,-2350.682,-1349.176,-2519.134,-1180.724
DS_richness,regionSWAFR:Elevation,130.388,0.185,-64.891,325.666,-130.582,391.357
DS_richness,regionGCFR:PDQ,646.067,< 0.001,424.77,867.364,350.326,941.807
DS_richness,regionSWAFR:PDQ,225.772,0.072,-21.329,472.874,-104.453,555.998
DS_richness,regionGCFR:Surface_T,898.613,< 0.001,631.951,1165.275,542.247,1254.98
DS_richness,regionSWAFR:Surface_T,40.004,0.749,-210.881,290.89,-295.278,375.287
DS_richness,regionGCFR:CEC,168.431,0.096,-30.878,367.74,-97.925,434.787
DS_richness,regionSWAFR:CEC,-54.285,0.621,-273.964,165.393,-347.863,239.293
DS_richness,regionGCFR:Clay,1012.812,< 0.001,611.814,1413.809,476.92,1548.703
DS_richness,regionSWAFR:Clay,259.893,0.003,96.46,423.327,41.481,478.306
DS_richness,regionGCFR:pH,-752.504,< 0.001,-1105.304,-399.703,-1223.986,-281.022
DS_richness,regionSWAFR:pH,-37.74,0.649,-203.827,128.347,-259.698,184.219
