species,n_collections
Leucadendron salignum,768
Encephalartos lehmannii,763
Diastella thymelaeoides,609
Erica plukenetii,605
Pentameris pallida,504
Tribolium uniolae,497
Aspalathus ciliaris,480
Serruria fasciflora,471
Erica corifolia,432
Erica calycina,423
Erica imbricata,413
Aspalathus divaricata,407
Wachendorfia paniculata,404
Erica quadrangularis,400
Ficinia nigrescens,396
Erica curviflora,384
Restio strobilifer,378
Moraea fistulosa,376
Metalasia densa,367
Leucadendron pubescens,365
Leucadendron rubrum,363
Chrysocoma oblongifolia,355
Erica hispidula,347
Restio sieberi,344
Aspalathus setacea,340
Leucadendron spissifolium,339
Rafnia capensis,332
Syncarpha paniculata,331
Pentaschistis curvifolia,324
Erica anguliger,323
Felicia filifolia,321
Erica eglandulosa,316
Aspalathus spicata,309
Tribolium hispidum,309
Aspalathus hispida,308
Spiloxene capensis,306
Erica articularis,304
Elegia filacea,301
Oedera squarrosa,301
Diosma hirsuta,294
Eriocephalus africanus,293
Haemanthus coccineus,292
Erica plumosa,290
Protea laurifolia,290
Restio gaudichaudianus,289
Agathosma ovata,284
Muraltia pubescens,283
Berzelia lanuginosa,282
Linum thunbergii,282
Protea repens,278
Erica discolor,276
Polygala myrtifolia,274
Erica cerinthoides,270
Pteronia incana,269
Solanum africanum,269
Erica coccinea,267
Gladiolus jonquilliodorus,265
Tetraria cuspidata,264
Erica daphniflora,262
Aspalathus spinosa,261
Pentameris eriostoma,261
Leucospermum cuneiforme,258
Othonna quinquedentata,257
Trifolium acaule,257
Aspalathus linearis,256
Erica nudiflora,256
Indigofera heterophylla,256
Podalyria oleaefolia,255
Aspalathus laricifolia,254
Aspalathus tridentata,254
Aspalathus nigra,253
Hypodiscus aristatus,253
Erica labialis,252
Sebaea exacoides,252
Hermannia conglomerata,250
Moraea tripetala,248
Protea neriifolia,248
Galenia acutifolia,245
Agathosma capensis,244
Aspalathus acuminata,244
Bromus pectinatus,244
Erica parviflora,239
Erica equisetifolia,238
Aulax umbellata,237
Ficinia indica,237
Pelargonium myrrhifolium,237
Erica cristiflora,231
Mesembryanthemum splendens,229
Restio filiformis,229
Eragrostis capensis,227
Erica abietina,227
Pterygodium catholicum,224
Erica melanthera,221
Amphithalea ericifolia,219
Gymnosporia laurina,219
Pelargonium longifolium,219
Muraltia spinosa,217
Gnidia galpinii,216
Chaetobromus involucratus,214
Agathosma serpyllacea,212
Serruria acrocarpa,212
Pentameris colorata,210
Leucadendron linifolium,209
Disa cylindrica,208
Erica inaequalis,208
Restio triticeus,208
Aspalathus uniflora,207
Edmondia sesamoides,206
Erica muscosa,206
Mesembryanthemum junceum,206
Oligomeris linifolia,206
Kewa salsoloides,205
Leysera gnaphalodes,205
Pelargonium triste,202
Brunsvigia bosmaniae,200
Polystichum incongruum,200
Seriphium plumosum,200
Aspalathus rubens,199
Dicerothamnus rhinocerotis,199
Microloma sagittatum,199
Leucadendron glaberrimum,198
Protea acaulos,198
Hypodiscus striatus,196
Helichrysum cymosum,195
Erica pulchella,194
Erica rosacea,194
Pteronia divaricata,194
Serruria aitonii,194
Wahlenbergia tenella,194
Aspalathus crenata,193
Cannomois virgata,193
Hesperantha falcata,193
Moraea fugax,193
Grielum humifusum,192
Hermannia diversistipula,192
Pentameris macrocalycina,192
Brachylaena neriifolia,190
Hypodiscus argenteus,190
Tribolium echinatum,189
Bulbinella triquetra,188
Leucadendron eucalyptifolium,187
Corymbium africanum,186
Corymbium glabrum,185
Erica similis,185
Serruria elongata,185
Protea nitida,184
Erica mammosa,182
Helichrysum felinum,182
Aspalathus triquetra,181
Erepsia gracilis,181
Kniphofia thodei,181
Muraltia heisteria,181
Oxalis obtusa,181
Pelargonium ovale,181
Restio capensis,181
Montinia caryophyllacea,180
Erica rigidula,179
Hoodia pilifera,179
Aspalathus juniperina,178
Erepsia anceps,178
Gladiolus carneus,178
Crotalaria humilis,177
Bulbine praemorsa,176
Bulbinella nutans,176
Ficinia acuminata,176
Pelargonium echinatum,176
Chironia baccifera,175
Mesembryanthemum noctiflorum,175
Hermannia hyssopifolia,174
Leucadendron loranthifolium,174
Oedera genistifolia,174
Pteronia camphorata,174
Erica bergiana,173
Gnaphalium antillanum,173
Sebaea membranacea,173
Pentameris malouinensis,172
Podalyria myrtillifolia,172
Syncarpha canescens,172
Cymbopogon marginatus,171
