species,n_collections
Calytrix pulchella,1339
Eucalyptus tenera,1294
Daviesia crenulata,1230
Acacia pulchella,1184
Lysinema ciliatum,1135
Caladenia paludosa,944
Hibbertia hypericoides,927
Calytrix leschenaultii,924
Cotula australis,904
Allocasuarina humilis,867
Conostylis setigera,865
Hemiandra pungens,834
Gonocarpus pithyoides,813
Boronia crenulata,801
Caladenia thinicola,797
Kennedia coccinea,794
Eucalyptus marginata,783
Hypocalymma angustifolium,782
Verticordia densiflora,772
Acacia acuminata,771
Hypolaena exsulca,763
Acacia lasiocarpa,743
Verticordia plumosa,742
Duboisia hopwoodii,728
Comesperma calymega,719
Drosera macrantha,714
Eucalyptus horistes,713
Hakea lissocarpha,703
Bossiaea eriocarpa,698
Stypandra glauca,694
Daviesia incrassata,691
Lechenaultia biloba,690
Thelymitra antennifera,688
Borya sphaerocephala,682
Anigozanthos humilis,676
Andersonia caerulea,673
Astroloma serratifolium,673
Conospermum stoechadis,667
Hovea trisperma,665
Eucalyptus decurva,657
Pterostylis nana,655
Allocasuarina campestris,652
Isopogon formosus,649
Waitzia acuminata,638
Bossiaea ornata,636
Beaufortia interstans,633
Philotheca glabra,626
Synaphea spinulosa,618
Eucalyptus uncinata,617
Drosera menziesii,614
Hibbertia commutata steudel,614
Philotheca spicata,609
Leptecophylla juniperina,608
Verticordia picta,605
Eucalyptus subangusta,601
Neurachne alopecuroidea,598
Lyginia imberbis,597
Isotropis cuneifolia,596
Eucalyptus tetragona,594
Dampiera lavandulacea,591
Eremaea pauciflora,591
Melaleuca hamata,591
Eucalyptus incrassata,588
Eucalyptus phaenophylla,588
Tetratheca hirsuta,586
Gompholobium polymorphum,582
Trachymene pilosa,577
Senecio serratiformis,576
Leucopogon obovatus,574
Verticordia chrysantha,573
Phyllanthus calycinus,571
Eucalyptus flocktoniae,567
Eucalyptus rudis,567
Andersonia parvifolia,562
Velleia trinervis,559
Banksia dallanneyi,557
Diuris corymbosa,556
Corymbia calophylla,555
Hakea trifurcata,554
Leptospermum erubescens,554
Stackhousia monogyna,545
Astartea fascicularis,544
Eucalyptus desmondensis,543
Hakea pandanicarpa,542
Astroloma pallidum,540
Daviesia decurrens,540
Melaleuca carrii,539
Pigea floribunda,535
Podolepis lessonii,534
Patersonia occidentalis,533
Senecio diaschides,531
Eucalyptus wandoo,529
Kennedia prostrata,528
Cassytha racemosa,527
Eucalyptus sheathiana,527
Gastrolobium parviflorum,527
Sphaerolobium medium,526
Acacia multispicata,520
Billardiera heterophylla,516
Pterostylis vittata,514
Trymalium ledifolium,509
Petrophile squamata,507
Bossiaea aurantiaca,505
Leucopogon conostephioides,504
Banksia pulchella,498
Brachyscome iberidifolia,496
Melaleuca thymoides,496
Rhodanthe citrina,495
Tripterococcus brunonis,495
Acacia browniana,494
Banksia echinata,492
Chamaescilla corymbosa,488
Eucalyptus dumosa,487
Adenanthos obovatus,485
Hakea prostrata,484
Pericalymma ellipticum,484
Eucalyptus suggrandis,476
Eucalyptus platydisca,475
Petrophile brevifolia,475
Gompholobium tomentosum,473
Eucalyptus suberea,470
Hibbertia gracilipes,466
Lepidobolus preissianus,463
Hibbertia racemosa,462
Acacia myrtifolia,461
Melaleuca campanae,460
Stylidium piliferum,459
Opercularia vaginata,458
Hardenbergia comptoniana,457
Caladenia brevisura,456
Chordifex isomorphus,454
Calothamnus sanguineus,452
Hovea chorizemifolia,451
Acacia assimilis,450
Chamelaucium ciliatum,450
Acacia drummondii,449
Acacia stenoptera,448
Isolepis cyperoides,448
Brachyloma delbi,447
Galenia pubescens,447
Rytidosperma caespitosum,447
Hyalosperma cotula,446
Acacia alata,445
Bossiaea linophylla,444
Leucopogon verticillatus,444
Acacia microbotrya,443
Orianthera serpyllifolia,442
Desmocladus asper,441
Grevillea hookeriana,441
Leucopogon propinquus,441
Drosera stolonifera,439
Eucalyptus obstans,439
Taxandria parviceps,437
Leucopogon glabellus,436
Tricoryne elatior,433
Trymalium odoratissimum,432
Eucalyptus leptocalyx,431
Lepyrodia glauca,431
Gompholobium knightianum,430
Labichea lanceolata,430
Taxandria linearifolia,428
Daviesia hakeoides,427
Stylidium breviscapum,427
Verticordia acerosa,425
Austrostipa elegantissima,424
Xanthosia huegelii,424
Melaleuca rhaphiophylla,423
Acacia erinacea,421
Pterostylis sanguinea,418
Melaleuca radula,416
Stylidium repens,411
Phebalium tuberculosum,410
Acacia rostellifera,408
Stylidium amoenum,407
Hibbertia acerosa,406
Melaleuca acuminata,406
Eucalyptus eudesmioides,404
Lawrencella rosea,402
Hovea elliptica,400
Boronia coerulescens,399
Gompholobium confertum,398
Thysanotus manglesianus,398
Vittadinia pustulata,397
Astroloma epacridis,396
Daviesia benthamii,396
Isotoma hypocrateriformis,396
Podotheca gnaphalioides,395
Baeckea crispiflora,394
Conostylis deplexa,394
Eucalyptus drummondii,394
Acacia sulcata,393
Isopogon divergens,393
Calytrix depressa,392
Microtis media,391
Anarthria prolifera,390
Banksia nivea,390
Clematis pubescens,390
Pterostylis recurva,390
Exocarpos sparteus,388
Synaphea petiolaris,388
Banksia fraseri,387
Petrophile linearis,385
Verticordia huegelii,384
Boronia inornata,382
Wahlenbergia preissii,382
Eucalyptus micranthera,381
Ptilotus manglesii,381
Olax benthamiana,380
Seringia integrifolia,380
Grevillea pilulifera,379
Astartea glomerulosa,378
Boronia ramosa,378
Dodonaea pinifolia,378
Grevillea huegelii,378
Eucalyptus occidentalis,377
Melaleuca tuberculata,377
Sowerbaea laxiflora,377
Briza minor,376
Hibbertia huegelii,376
Eucalyptus calycogona,375
Petrophile serruriae,375
Stirlingia latifolia,375
Comesperma spinosum,374
Eucalyptus celastroides,374
Jacksonia sternbergiana,374
Lepidosperma squamatum,374
Siemssenia capillaris,374
Melaleuca lateriflora,373
Pityrodia terminalis,373
Eucalyptus woodwardii,372
Boronia ternata,368
Geleznowia verrucosa,366
Thelymitra crinita,366
Eucalyptus astringens,365
Acacia lasiocalyx,364
Xyris laxiflora,364
Acacia blakelyi,363
Ursinia anthemoides,363
Anarthria scabra,362
Glischrocaryon aureum,362
Melaleuca pauperiflora,362
Crassula colorata,361
Eucalyptus viridis,361
Gompholobium marginatum,361
Chamelaucium micranthum,359
Drosera pallida,359
Platytheca galioides,359
Leucopogon pulchellus,357
Rhodanthe manglesii,357
Callitris canescens,356
Cyanicula gemmata,356
Elythranthera brunonis,356
Lomandra nigricans,356
Rytidosperma setaceum,356
Trachymene cyanopetala,356
Calytrix sapphirina,355
Eucalyptus pileata,355
Calytrix flavescens,354
Hydrocotyle callicarpa,354
Leucopogon capitellatus,354
Daucus glochidiatus,353
Scaevola calliptera,353
Acacia leptospermoides,352
Dianella revoluta,352
Stylidium junceum,352
Petrophile seminuda,349
Lambertia inermis,347
Hyalosperma glutinosum,345
Billardiera variifolia,344
Melaleuca concreta,344
Verticordia spicata,344
Cassytha glabella,343
Eucalyptus accedens,342
Melaleuca fulgens,342
Daviesia nudiflora,341
Ptilotus drummondii,341
Banksia attenuata,340
Lagenophora huegelii,340
Santalum acuminatum,340
Acacia hemiteles,339
Diplopeltis huegelii,339
Dodonaea inaequifolia,337
Eucalyptus rigidula,337
Leptosema daviesioides,337
Acacia applanata,336
Conostephium pendulum,336
Desmocladus fasciculatus,336
Cryptandra pungens,335
Lobelia anceps,333
Isolepis marginata,332
Caladenia hirta,331
Grevillea synapheae,331
Harperia lateriflora,331
Olearia muelleri,331
Eucalyptus pluricaulis,330
Wurmbea dioica,330
Comesperma scoparium,329
Grevillea fasciculata,329
Hibbertia amplexicaulis,329
Austrostipa hemipogon,328
Eucalyptus mundijongensis,328
Eucalyptus sporadica,328
Melaleuca depauperata,328
Andersonia lehmanniana,327
Baeckea preissiana,327
Orthrosanthus laxus,327
Phebalium filifolium,327
Senecio subumbellatus,326
Stylidium spathulatum,326
Stylolepis gracilis,326
Allocasuarina acutivalvis,325
Hypochaeris glabra,325
Anthocercis littorea,324
Craspedia paludicola,323
Darwinia vestita,323
Macrozamia riedlei,323
Thysanotus patersonii,323
Acacia extensa,322
Gastrolobium calycinum,322
Caladenia vulgata,321
Daviesia lancifolia,321
Mirbelia dilatata,321
Melaleuca atroviridis,319
Thysanotus sparteus,319
Trachymene ornata,319
Xanthosia rotundifolia,319
Persoonia longifolia,318
Stylidium scandens,318
Templetonia retusa,318
Agonis flexuosa,317
Daviesia divaricata,317
Melaleuca trichophylla,317
Leucopogon pendulus,316
Stylidium dichotomum,316
Hakea incrassata,315
Acacia latipes,314
Calytrix strigosa,314
Goodenia coerulea,314
