scale,variable,CLES_value,P_U
point1,Elevation,0.9109777643584009,0
point1,MAP,0.7800934506798044,1.1244296885862194e-255
point1,PDQ,0.7984287371303527,5.930878751016364e-290
point1,Surface_T,0.7480009446709794,6.719043873675403e-201
point1,NDVI,0.5386712724359357,2.409625340992806e-6
point1,CEC,0.6442687469357983,2.818607060820386e-69
point1,Clay,0.5851164994559174,3.082166786168356e-25
point1,Soil_C,0.691626807131668,9.192159555016796e-121
point1,pH,0.6505875793702991,2.6035094927024835e-75
point1,PC1,0.8240450153658507,0
QDS,Elevation,0.9192410747381464,8.021273139568904e-98
QDS,MAP,0.7020217531745443,4.755007651511137e-24
QDS,PDQ,0.8049786598604154,1.2202885378688988e-52
QDS,Surface_T,0.7678743526471304,5.157010009144866e-41
QDS,NDVI,0.5952363301314298,1.8591549426671887e-6
QDS,CEC,0.6548616332884997,8.9407346869068e-15
QDS,Clay,0.5887813350560774,8.790334444600465e-6
QDS,Soil_C,0.7102400898086272,6.544350860687503e-26
QDS,pH,0.6524946252502039,2.258741056376951e-14
QDS,PC1,0.8168454719718713,1.1305413594500969e-56
HDS,Elevation,0.9563800714736178,6.4109763034370505e-27
HDS,MAP,0.6675425688459113,8.046643066103349e-5
HDS,PDQ,0.8165860836661761,9.210978055637196e-14
HDS,Surface_T,0.79966365356317,1.7463936921777565e-12
HDS,NDVI,0.6408450704225352,9.180684433012928e-4
HDS,CEC,0.7092705486651251,8.420692918043344e-7
HDS,Clay,0.605528694555392,0.013024743269871599
HDS,Soil_C,0.6823628337187303,1.771495561362047e-5
HDS,pH,0.7234601639688879,1.4452290032993313e-7
HDS,PC1,0.8567374395627496,4.580949148716197e-17
DS,Elevation,0.9958333333333333,3.0504512608811506e-8
DS,MAP,0.575,0.5145831550725878
DS,PDQ,0.875,3.1267125424031797e-4
DS,Surface_T,0.8125,0.0035941026845953887
DS,NDVI,0.6833333333333333,0.10075594757921524
DS,CEC,0.6708333333333333,0.12732305971853178
DS,Clay,0.6166666666666667,0.30404352566886095
DS,Soil_C,0.6125,0.3221750724138998
DS,pH,0.7916666666666666,0.007026699227183425
DS,PC1,0.7708333333333334,0.012964006047824668
