species,n_collections
Eucalyptus tenera,1452
Calytrix pulchella,1431
Daviesia crenulata,1287
Lysinema ciliatum,1255
Acacia pulchella,1242
Caladenia paludosa,982
Cotula australis,950
Calytrix leschenaultii,949
Hibbertia hypericoides,949
Allocasuarina humilis,925
Duboisia hopwoodii,888
Conostylis setigera,886
Hemiandra pungens,882
Kennedia coccinea,864
Boronia crenulata,863
Acacia acuminata,836
Caladenia thinicola,822
Gonocarpus pithyoides,821
Eucalyptus marginata,810
Verticordia plumosa,805
Eucalyptus horistes,795
Hypocalymma angustifolium,793
Eucalyptus decurva,792
Thelymitra antennifera,790
Hypolaena exsulca,789
Verticordia densiflora,789
Acacia lasiocarpa,784
Drosera macrantha,762
Leptecophylla juniperina,761
Comesperma calymega,759
Stypandra glauca,751
Leucopogon obovatus,726
Andersonia caerulea,722
Hakea lissocarpha,715
Isopogon formosus,714
Daviesia incrassata,710
Waitzia acuminata,706
Bossiaea eriocarpa,704
Lechenaultia biloba,702
Hovea trisperma,699
Borya sphaerocephala,694
Anigozanthos humilis,689
Melaleuca hamata,685
Astroloma serratifolium,684
Conospermum stoechadis,684
Allocasuarina campestris,675
Beaufortia interstans,675
Pterostylis nana,672
Philotheca glabra,663
Eucalyptus uncinata,649
Gompholobium polymorphum,648
Bossiaea ornata,640
Eucalyptus flocktoniae,640
Isotropis cuneifolia,639
Synaphea spinulosa,635
Philotheca spicata,633
Eucalyptus dumosa,629
Eucalyptus incrassata,628
Lyginia imberbis,628
Drosera menziesii,627
Andersonia parvifolia,626
Verticordia picta,626
Eucalyptus subangusta,625
Eucalyptus tetragona,623
Trachymene pilosa,621
Phyllanthus calycinus,619
Hibbertia commutata steudel,616
Dampiera lavandulacea,610
Neurachne alopecuroidea,610
Velleia trinervis,604
Senecio serratiformis,598
Verticordia chrysantha,598
Eucalyptus phaenophylla,593
Tetratheca hirsuta,593
Eremaea pauciflora,592
Chordifex isomorphus,591
Hakea trifurcata,591
Pigea floribunda,584
Senecio diaschides,583
Cassytha racemosa,582
Stackhousia monogyna,582
Astartea fascicularis,577
Eucalyptus rudis,577
Melaleuca thymoides,576
Rhodanthe citrina,575
Eucalyptus sheathiana,573
Corymbia calophylla,571
Podolepis lessonii,570
Billardiera heterophylla,568
Leptospermum erubescens,568
Banksia dallanneyi,566
Eucalyptus desmondensis,562
Diuris corymbosa,561
Brachyscome iberidifolia,560
Astroloma pallidum,559
Bossiaea aurantiaca,559
Kennedia prostrata,558
Patersonia occidentalis,553
Daviesia decurrens,552
Sphaerolobium medium,551
Gastrolobium parviflorum,548
Hakea pandanicarpa,548
Petrophile squamata,544
Eucalyptus suberea,543
Melaleuca carrii,542
Banksia pulchella,532
Acacia browniana,531
Eucalyptus wandoo,531
Pterostylis vittata,529
Acacia multispicata,528
Trymalium ledifolium,527
Acacia myrtifolia,523
