region,dgc,lat,lon,n_collections,DS_richness,mean_HDS_richness
GCFR,E017S29,-29.5,17.5,9655,1558,734.25
GCFR,E018S30,-30.5,18.5,3670,1216,421.75
GCFR,E019S31,-31.5,19.5,10676,2151,915.25
GCFR,E019S32,-32.5,19.5,21331,3005,1278.25
GCFR,E019S33,-33.5,19.5,42043,4318,2111.5
GCFR,E020S32,-32.5,20.5,3811,949,378
GCFR,E020S33,-33.5,20.5,15576,2958,1245.5
GCFR,E021S33,-33.5,21.5,13569,2605,1119.25
GCFR,E022S33,-33.5,22.5,17362,2952,1311
GCFR,E023S33,-33.5,23.5,10798,2146,892.5
SWAFR,E114S27,-27.5,114.5,16455,1373,695.5
SWAFR,E115S28,-28.5,115.5,10278,1382,650.25
SWAFR,E115S29,-29.5,115.5,20042,1977,996.25
SWAFR,E115S30,-30.5,115.5,27477,2024,1082.25
SWAFR,E116S28,-28.5,116.5,2944,647,305
SWAFR,E116S29,-29.5,116.5,9284,1394,666.5
SWAFR,E116S30,-30.5,116.5,19307,1958,971.75
SWAFR,E116S31,-31.5,116.5,35472,2632,1368.75
SWAFR,E116S32,-32.5,116.5,26756,2275,1152
SWAFR,E116S33,-33.5,116.5,13066,1804,917
SWAFR,E116S34,-34.5,116.5,26743,1932,1104.75
SWAFR,E117S30,-30.5,117.5,8884,1208,599.75
SWAFR,E117S31,-31.5,117.5,14006,1675,883.75
SWAFR,E117S32,-32.5,117.5,14044,1781,887.5
SWAFR,E117S33,-33.5,117.5,10262,1730,849.75
SWAFR,E117S34,-34.5,117.5,35917,2507,1385.5
SWAFR,E118S31,-31.5,118.5,11607,1370,732.5
SWAFR,E118S32,-32.5,118.5,10390,1542,780.25
SWAFR,E118S33,-33.5,118.5,14919,1777,910.5
SWAFR,E119S32,-32.5,119.5,9195,1408,700.75
SWAFR,E119S33,-33.5,119.5,19170,2043,1051.25
SWAFR,E120S33,-33.5,120.5,21298,1929,921.25
SWAFR,E121S33,-33.5,121.5,13970,1709,795.25
SWAFR,E122S33,-33.5,122.5,13590,1576,761.25
GCFR,E016S34,-34.5,16.5,NA,NA,NA
GCFR,E016S33,-33.5,16.5,NA,NA,NA
GCFR,E016S32,-32.5,16.5,NA,NA,NA
GCFR,E016S31,-31.5,16.5,NA,NA,NA
GCFR,E016S30,-30.5,16.5,NA,NA,NA
GCFR,E016S29,-29.5,16.5,NA,NA,NA
GCFR,E016S28,-28.5,16.5,NA,NA,NA
GCFR,E016S27,-27.5,16.5,NA,NA,NA
GCFR,E017S34,-34.5,17.5,NA,NA,NA
GCFR,E017S33,-33.5,17.5,NA,NA,NA
GCFR,E017S32,-32.5,17.5,NA,NA,NA
GCFR,E017S31,-31.5,17.5,NA,NA,NA
GCFR,E017S30,-30.5,17.5,NA,NA,NA
GCFR,E017S28,-28.5,17.5,NA,NA,NA
GCFR,E017S27,-27.5,17.5,NA,NA,NA
GCFR,E018S34,-34.5,18.5,NA,NA,NA
GCFR,E018S33,-33.5,18.5,NA,NA,NA
GCFR,E018S32,-32.5,18.5,NA,NA,NA
GCFR,E018S31,-31.5,18.5,NA,NA,NA
GCFR,E018S29,-29.5,18.5,NA,NA,NA
GCFR,E018S28,-28.5,18.5,NA,NA,NA
GCFR,E018S27,-27.5,18.5,NA,NA,NA
GCFR,E019S34,-34.5,19.5,NA,NA,NA
GCFR,E019S30,-30.5,19.5,NA,NA,NA
GCFR,E019S29,-29.5,19.5,NA,NA,NA
GCFR,E019S28,-28.5,19.5,NA,NA,NA
GCFR,E019S27,-27.5,19.5,NA,NA,NA
GCFR,E020S34,-34.5,20.5,NA,NA,NA
GCFR,E020S31,-31.5,20.5,NA,NA,NA
GCFR,E020S30,-30.5,20.5,NA,NA,NA
GCFR,E020S29,-29.5,20.5,NA,NA,NA
GCFR,E020S28,-28.5,20.5,NA,NA,NA
GCFR,E020S27,-27.5,20.5,NA,NA,NA
GCFR,E021S34,-34.5,21.5,NA,NA,NA
GCFR,E021S32,-32.5,21.5,NA,NA,NA
GCFR,E021S31,-31.5,21.5,NA,NA,NA
GCFR,E021S30,-30.5,21.5,NA,NA,NA
GCFR,E021S29,-29.5,21.5,NA,NA,NA
GCFR,E021S28,-28.5,21.5,NA,NA,NA
GCFR,E021S27,-27.5,21.5,NA,NA,NA
GCFR,E022S34,-34.5,22.5,NA,NA,NA
GCFR,E022S32,-32.5,22.5,NA,NA,NA
GCFR,E022S31,-31.5,22.5,NA,NA,NA
GCFR,E022S30,-30.5,22.5,NA,NA,NA
GCFR,E022S29,-29.5,22.5,NA,NA,NA
GCFR,E022S28,-28.5,22.5,NA,NA,NA
GCFR,E022S27,-27.5,22.5,NA,NA,NA
GCFR,E023S34,-34.5,23.5,NA,NA,NA
GCFR,E023S32,-32.5,23.5,NA,NA,NA
GCFR,E023S31,-31.5,23.5,NA,NA,NA
GCFR,E023S30,-30.5,23.5,NA,NA,NA
GCFR,E023S29,-29.5,23.5,NA,NA,NA
GCFR,E023S28,-28.5,23.5,NA,NA,NA
GCFR,E023S27,-27.5,23.5,NA,NA,NA
GCFR,E024S34,-34.5,24.5,NA,NA,NA
GCFR,E024S33,-33.5,24.5,NA,NA,NA
GCFR,E024S32,-32.5,24.5,NA,NA,NA
GCFR,E024S31,-31.5,24.5,NA,NA,NA
GCFR,E024S30,-30.5,24.5,NA,NA,NA
GCFR,E024S29,-29.5,24.5,NA,NA,NA
GCFR,E024S28,-28.5,24.5,NA,NA,NA
GCFR,E024S27,-27.5,24.5,NA,NA,NA
GCFR,E025S34,-34.5,25.5,NA,NA,NA
GCFR,E025S33,-33.5,25.5,NA,NA,NA
GCFR,E025S32,-32.5,25.5,NA,NA,NA
GCFR,E025S31,-31.5,25.5,NA,NA,NA
GCFR,E025S30,-30.5,25.5,NA,NA,NA
GCFR,E025S29,-29.5,25.5,NA,NA,NA
GCFR,E025S28,-28.5,25.5,NA,NA,NA
GCFR,E025S27,-27.5,25.5,NA,NA,NA
GCFR,E026S34,-34.5,26.5,NA,NA,NA
GCFR,E026S33,-33.5,26.5,NA,NA,NA
GCFR,E026S32,-32.5,26.5,NA,NA,NA
GCFR,E026S31,-31.5,26.5,NA,NA,NA
GCFR,E026S30,-30.5,26.5,NA,NA,NA
GCFR,E026S29,-29.5,26.5,NA,NA,NA
