region,qdgc,hdgc,dgc,lat,lon,n_collections,QDS_richness
GCFR,E016S28BD,E016S28B,E016S28,-28.375,16.875,525,456
GCFR,E016S28CB,E016S28C,E016S28,-28.625,16.375,30,30
GCFR,E016S28DA,E016S28D,E016S28,-28.625,16.625,236,204
GCFR,E016S28DB,E016S28D,E016S28,-28.625,16.875,199,193
GCFR,E016S28DC,E016S28D,E016S28,-28.875,16.625,78,75
GCFR,E016S28DD,E016S28D,E016S28,-28.875,16.875,183,183
GCFR,E016S29BB,E016S29B,E016S29,-29.125,16.875,137,126
GCFR,E016S29BD,E016S29B,E016S29,-29.375,16.875,156,147
GCFR,E017S28AA,E017S28A,E017S28,-28.125,17.125,25,25
GCFR,E017S28AC,E017S28A,E017S28,-28.375,17.125,579,545
GCFR,E017S28AD,E017S28A,E017S28,-28.375,17.375,220,209
GCFR,E017S28CA,E017S28C,E017S28,-28.625,17.125,368,357
GCFR,E017S28CB,E017S28C,E017S28,-28.625,17.375,280,275
GCFR,E017S28CC,E017S28C,E017S28,-28.875,17.125,213,203
GCFR,E017S28CD,E017S28C,E017S28,-28.875,17.375,307,292
GCFR,E017S28DC,E017S28D,E017S28,-28.875,17.625,150,146
GCFR,E017S28DD,E017S28D,E017S28,-28.875,17.875,59,59
GCFR,E017S29AA,E017S29A,E017S29,-29.125,17.125,298,277
GCFR,E017S29AB,E017S29A,E017S29,-29.125,17.375,81,75
GCFR,E017S29AC,E017S29A,E017S29,-29.375,17.125,220,193
GCFR,E017S29AD,E017S29A,E017S29,-29.375,17.375,95,87
GCFR,E017S29BA,E017S29B,E017S29,-29.125,17.625,452,413
GCFR,E017S29BB,E017S29B,E017S29,-29.125,17.875,252,232
GCFR,E017S29BC,E017S29B,E017S29,-29.375,17.625,424,389
GCFR,E017S29BD,E017S29B,E017S29,-29.375,17.875,269,257
GCFR,E017S29CA,E017S29C,E017S29,-29.625,17.125,227,221
GCFR,E017S29CB,E017S29C,E017S29,-29.625,17.375,166,159
GCFR,E017S29CC,E017S29C,E017S29,-29.875,17.125,124,122
GCFR,E017S29CD,E017S29C,E017S29,-29.875,17.375,326,306
GCFR,E017S29DA,E017S29D,E017S29,-29.625,17.625,482,449
GCFR,E017S29DB,E017S29D,E017S29,-29.625,17.875,880,799
GCFR,E017S29DC,E017S29D,E017S29,-29.875,17.625,430,401
GCFR,E017S29DD,E017S29D,E017S29,-29.875,17.875,290,264
GCFR,E017S30AA,E017S30A,E017S30,-30.125,17.125,87,85
GCFR,E017S30AB,E017S30A,E017S30,-30.125,17.375,416,372
GCFR,E017S30AD,E017S30A,E017S30,-30.375,17.375,442,388
GCFR,E017S30BA,E017S30B,E017S30,-30.125,17.625,406,381
