region,hdgc,dgc,lat,lon,n_collections,HDS_richness,mean_QDS_richness
GCFR,E016S28D,E016S28,-28.75,16.75,1238,465,163.75
GCFR,E017S28C,E017S28,-28.75,17.25,1917,710,281.75
GCFR,E017S29A,E017S29,-29.25,17.25,1039,450,158
GCFR,E017S29B,E017S29,-29.25,17.75,2427,806,322.75
GCFR,E017S29C,E017S29,-29.75,17.25,1264,577,202
GCFR,E017S29D,E017S29,-29.75,17.75,4925,1104,478.25
GCFR,E017S30B,E017S30,-30.25,17.75,3324,939,364
GCFR,E017S30D,E017S30,-30.75,17.75,1186,550,194.75
GCFR,E018S29A,E018S29,-29.25,18.25,219,144,43.75
GCFR,E018S29C,E018S29,-29.75,18.25,680,387,116.75
GCFR,E018S30A,E018S30,-30.25,18.25,2149,780,260.5
GCFR,E018S30B,E018S30,-30.25,18.75,255,171,47.5
GCFR,E018S30C,E018S30,-30.75,18.25,913,514,160
GCFR,E018S30D,E018S30,-30.75,18.75,353,222,62.5
GCFR,E018S31A,E018S31,-31.25,18.25,1388,612,195
GCFR,E018S31B,E018S31,-31.25,18.75,1748,659,222.75
GCFR,E018S31D,E018S31,-31.75,18.75,5109,1464,595.25
GCFR,E018S32B,E018S32,-32.25,18.75,5935,1556,583.75
GCFR,E018S32C,E018S32,-32.75,18.25,1347,582,192
GCFR,E018S32D,E018S32,-32.75,18.75,4723,1323,543.5
GCFR,E018S33A,E018S33,-33.25,18.25,4389,1239,488.25
GCFR,E018S33B,E018S33,-33.25,18.75,2993,1093,369.75
GCFR,E018S33D,E018S33,-33.75,18.75,19907,2811,1278.75
GCFR,E018S34B,E018S34,-34.25,18.75,20683,2727,1113.25
GCFR,E019S29A,E019S29,-29.25,19.25,1052,392,142.75
GCFR,E019S30C,E019S30,-30.75,19.25,500,298,92.5
GCFR,E019S31A,E019S31,-31.25,19.25,5310,1374,421.25
GCFR,E019S31B,E019S31,-31.25,19.75,1919,729,240.75
GCFR,E019S31C,E019S31,-31.75,19.25,2673,1144,366.5
GCFR,E019S31D,E019S31,-31.75,19.75,774,414,131.75
GCFR,E019S32A,E019S32,-32.25,19.25,10196,1910,749.5
GCFR,E019S32B,E019S32,-32.25,19.75,1148,408,175.5
GCFR,E019S32C,E019S32,-32.75,19.25,7456,1820,753.75
GCFR,E019S32D,E019S32,-32.75,19.75,2531,975,285.75
GCFR,E019S33A,E019S33,-33.25,19.25,14040,2503,1138
GCFR,E019S33B,E019S33,-33.25,19.75,3765,1339,480.25
GCFR,E019S33C,E019S33,-33.75,19.25,18692,2875,1322.25
GCFR,E019S33D,E019S33,-33.75,19.75,5546,1729,629.25
GCFR,E019S34A,E019S34,-34.25,19.25,21899,2748,1404.75
GCFR,E019S34B,E019S34,-34.25,19.75,7741,2051,820.25
GCFR,E020S31C,E020S31,-31.75,20.25,582,327,91.75
GCFR,E020S32A,E020S32,-32.25,20.25,2247,703,268.75
GCFR,E020S32B,E020S32,-32.25,20.75,471,240,68.25
GCFR,E020S32C,E020S32,-32.75,20.25,346,221,65.75
GCFR,E020S32D,E020S32,-32.75,20.75,747,348,115.5
GCFR,E020S33A,E020S33,-33.25,20.25,1243,629,208.5
GCFR,E020S33B,E020S33,-33.25,20.75,3530,1157,436.25
GCFR,E020S33C,E020S33,-33.75,20.25,4153,1402,449
GCFR,E020S33D,E020S33,-33.75,20.75,6650,1794,658.25
GCFR,E020S34A,E020S34,-34.25,20.25,6539,1820,650.5
GCFR,E020S34B,E020S34,-34.25,20.75,5669,1504,546.5
GCFR,E021S32A,E021S32,-32.25,21.25,189,131,36.75
