citation,to_get_from_Tony,in_Mendeley,needs_updated_version,
"Ackerly, Donoghue & Crisp, XXXX",y,,,
Akaike XXXX,,,,
"Bivand et al., 2017",,y,,
"Born et al., 2007",,y,,
Byrne XXXX,y,,,
"Chamberlain & Szocs, 2013",,,y,
"Chamberlain et al., 2018",,,y (choose one!),
"Cowling & Witkowski, 1994",y,,,
"Dupont et al., 2011",,y,,
"Gioia & Hopper, 2017",,y,,
"Goldblatt, 1978",y,,,
"Hijmans, 2016",,y,y,
"Hoffmann et al., 2015",,y,,
"Hopper & Gioia, 2004",,y,,
"Hopper, 2009",y,,,
"Lamont & He, 2017",y,,,
"Larsen et al., 2009",,y,,
"Linder, 2009",,,,
"Mucina & Rutherford, 2006",,y,,
Nosil XXXX,y,,,
"Olson et al., 2001",y,,,"Olson, D.M., Dinerstein, E., Wikramanayake, E.D., Burgess, N.D., Powell, G.V.N., Underwood, E.C., D’amico, J.A., Itoua, I., Strand, H.E., Morrison, J.C., & Others (2001) Terrestrial Ecoregions of the World: A New Map of Life on Earth: A new global map of terrestrial ecoregions provides an innovative tool for conserving biodiversity. BioScience, 51, 933–938. "
"R Core Team, 2019",,y,y,
"Ricklefs, 1987",,y,,
"Ricklefs, 2004",y,,,
"Rundel et al., 2016",,y,,
"Snijman, 2013",y,,,
"Sobel et al., 2010",,y,,
Stock & Verboom XXXX,y,,,
Whittaker XXXX,,,,
"Wiens, 2004a",y,,,
"Wiens, 2004b",y,,,
