Variable,Source,Temporal extent,Citation
Plant species occurrences,GBIF,TODO," @GBIFCape, @GBIFSWA"
Elevation,SRTM v2.0,, @Farr2007
NDVI,MODIS (MOD13C2),Feb. 2000 to Apr. 2017, @MOD13C2
Surface temperature,MODIS (MOD11C3),Feb. 2000 to Apr. 2017, @MOD11C3
MAP,CHIRPS v2.0,Jan. 1981 to Feb. 2017, @Funk2015
PDQ,CHIRPS v2.0,Jan. 1981 to Feb. 2017, @Funk2015
CEC,SoilGrids250m (CECSOL M 250m),, @Hengl2017
Clay,SoilGrids250m (CLYPPT M 250m),,
Soil C,SoilGrids250m (OCDENS M 250m),,
pH,SoilGrids250m (PHIKCL M 250m),,
