quality_metric,response,scale,est_diff,est_GCFR,est_SWAFR,statistic,p.value,parameter,conf.low,conf.high,method,alternative
nt,richness,QDS,542.9378621378619,8112.137862137862,7569.2,20.433120518028776,3.189478165749965e-84,1944.2329727797717,490.8263146035401,595.0494096721836,Welch Two Sample t-test,two.sided
nt,richness,HDS,-808.9939060939059,4343.906093906094,5152.9,-23.903759325527055,4.274327431949441e-111,1970.1740425126352,-875.367299075611,-742.620513112201,Welch Two Sample t-test,two.sided
nt,turnover,HDS,-997.0452047952049,3145.204795204795,4142.25,-41.17748748155065,9.698356058281095e-265,1880.0520046261731,-1044.533084498709,-949.5573250917007,Welch Two Sample t-test,two.sided
pseudo_r2,richness,QDS,-0.004503293150796617,0.4916300430740227,0.4961333362248193,-9.361773639601298,2.272312500391619e-20,1787.8599987570249,-0.005446733146709749,-0.003559853154883485,Welch Two Sample t-test,two.sided
pseudo_r2,richness,HDS,-0.2330362237635512,0.2696934592717855,0.5027296830353367,-174.14774666809305,0,1788.5610662119311,-0.23566073030730017,-0.23041171721980222,Welch Two Sample t-test,two.sided
pseudo_r2,turnover,HDS,-0.29633496910830665,0.13969510820854175,0.4360300773168484,-271.92485599200296,0,1602.0245954734928,-0.2984724897933411,-0.29419744842327217,Welch Two Sample t-test,two.sided
pred_obs_r2,richness,QDS,0.06314098684199099,0.8075513332739229,0.7444103464319319,161.31736005591796,0,1992.9670560176212,0.0623733740874218,0.06390859959656017,Welch Two Sample t-test,two.sided
pred_obs_r2,richness,HDS,-0.06428171903986968,0.7931870438557708,0.8574687628956404,-73.31937267780138,0,1792.0523612311017,-0.0660012510070961,-0.06256218707264326,Welch Two Sample t-test,two.sided
pred_obs_r2,turnover,HDS,-0.05204810701788409,0.7235399903552144,0.7755880973730985,-47.993288614533256,1.5839024210229818e-298,1406.6359712802023,-0.054175493384607344,-0.049920720651160835,Welch Two Sample t-test,two.sided
pred_obs_r2_exp,richness,QDS,0.09981020801720397,0.695151835894495,0.5953416278772911,262.20751959537154,0,1877.2426539737553,0.099063659545109,0.10055675648929893,Welch Two Sample t-test,two.sided
pred_obs_r2_exp,richness,HDS,-0.04190866324930942,0.7215637087028923,0.7634723719522017,-48.934410580810656,0,1997.1782880858689,-0.043588243710013776,-0.04022908278860506,Welch Two Sample t-test,two.sided
pred_obs_r2_exp,turnover,HDS,-0.048454118951477,0.7260415490013018,0.7744956679527788,-45.23019396598033,2.303524670565111e-278,1434.4667075915095,-0.050555558674771434,-0.04635267922818256,Welch Two Sample t-test,two.sided
