resolution,region,variable,roughness,z_roughness
0.05º,Cape,Elevation,83.71567571767686,0.828341659807784
0.05º,Cape,Elevation,248.22717933157423,4.122796600581033
0.05º,Cape,Elevation,69.48529686693408,0.5433686282322321
0.05º,Cape,Elevation,38.64643875025634,-0.07420051592159704
0.05º,Cape,Elevation,392.7492055638955,7.016948638052354
0.05º,Cape,Elevation,123.07143899515708,1.6164676323336604
0.05º,Cape,Elevation,20.683252805651854,-0.43392555269544836
0.05º,Cape,Elevation,223.15911203412753,3.6207914741946428
0.05º,Cape,Elevation,24.282321730044558,-0.3618517454559444
0.05º,Cape,Elevation,50.25847409140225,0.15833840300929797
0.05º,Cape,Elevation,157.42073046585392,2.3043355960432694
0.05º,Cape,Elevation,22.06775064201905,-0.4062000402704044
0.05º,Cape,Elevation,229.31438890724976,3.7440550871397726
0.05º,Cape,Elevation,309.3454316485407,5.346731242802895
0.05º,Cape,Elevation,39.07053471150938,-0.06570770536294353
0.05º,Cape,Elevation,76.90932925621784,0.6920399347855958
0.05º,Cape,Elevation,54.012385210494166,0.23351303069090448
0.05º,Cape,Elevation,77.1083230259872,0.6960249205987361
0.05º,Cape,Elevation,39.333708328630124,-0.06043747438116704
0.05º,Cape,Elevation,53.72052892130905,0.22766840965967078
0.05º,Cape,Elevation,125.09200853737951,1.6569309140210833
0.05º,Cape,Elevation,40.60170028225655,-0.035045071632910714
0.05º,Cape,Elevation,73.59931431864011,0.6257546305631679
0.05º,Cape,Elevation,31.966283597864376,-0.20797517400617888
0.05º,Cape,Elevation,44.3136286978717,0.039288823808957304
0.05º,Cape,Elevation,42.14014853017748,-0.0042365973308201264
0.05º,Cape,Elevation,57.562235957320155,0.30460121039252475
0.05º,Cape,Elevation,26.093141118464246,-0.3255888535002035
0.05º,Cape,Elevation,22.620373466374005,-0.39513339171339457
0.05º,Cape,Elevation,23.26558140813697,-0.38221266310248925
0.05º,Cape,Elevation,56.12589957418595,0.27583759575111605
0.05º,Cape,Elevation,53.244033976601045,0.21812627375815355
0.05º,Cape,Elevation,17.19155939862365,-0.5038490920452989
0.05º,Cape,Elevation,46.90934012831536,0.09126971364944324
0.05º,Cape,Elevation,29.812575130269952,-0.25110465338109256
0.05º,Cape,Elevation,22.83520770275463,-0.3908311897643291
0.05º,Cape,Elevation,64.91484371131003,0.45184218996286385
0.05º,Cape,Elevation,110.27745302247143,1.3602593467488384
0.05º,Cape,Elevation,132.9598883184843,1.81449056698678
0.05º,Cape,Elevation,78.47344197519186,0.7233623576056065
0.05º,Cape,Elevation,27.368604357039416,-0.3000468331806977
0.05º,Cape,Elevation,93.925093201964,1.0327922005582075
0.05º,Cape,Elevation,21.7512908516332,-0.41253736317543105
0.05º,Cape,Elevation,46.97474380386938,0.09257946681162563
0.05º,Cape,Elevation,26.181753487117792,-0.32381433044673097
0.05º,Cape,Elevation,14.820288770402973,-0.5513354019108186
0.05º,Cape,Elevation,34.9165513655906,-0.1488940519540633
0.05º,Cape,Elevation,47.043284605070575,0.09395204305220141
0.05º,Cape,Elevation,20.44797734481083,-0.4386371040908423
0.05º,Cape,Elevation,101.95158970892827,1.193528261524061
0.05º,Cape,Elevation,211.05821933957625,3.378462853705615
0.05º,Cape,Elevation,27.98582041807678,-0.28768666105205776
0.05º,Cape,Elevation,35.80422469824982,-0.1311177886999429
0.05º,Cape,Elevation,18.696294255540334,-0.47371575136684124
0.05º,Cape,Elevation,69.33839556895376,0.5404268296570206
0.05º,Cape,Elevation,151.28441459130437,2.181451690012595
0.05º,Cape,Elevation,74.48311910242643,0.6434534234904845
0.05º,Cape,Elevation,141.68762854457765,1.9892695111822039
0.05º,Cape,Elevation,184.2949617244854,2.842510386283301
0.05º,Cape,Elevation,15.477741558604151,-0.5381694619076325
0.05º,Cape,Elevation,116.22333752856419,1.4793297348861798
0.05º,Cape,Elevation,99.29041178944058,1.140236360638461
0.05º,Cape,Elevation,70.30681273183174,0.5598200431216592
0.05º,Cape,Elevation,34.82317911071097,-0.1507638949721011
0.05º,Cape,Elevation,39.29638428696241,-0.06118491374425513
0.05º,Cape,Elevation,36.47960399897401,-0.11759285807023573
0.05º,Cape,Elevation,103.06886818231722,1.2159025241501846
0.05º,Cape,Elevation,122.18342501346783,1.5986845473506308
0.05º,Cape,Elevation,30.229510356602102,-0.24275524141780463
0.05º,Cape,Elevation,44.72306539058857,0.04748807252788406
0.05º,Cape,Elevation,173.34119462914606,2.6231537374497074
0.05º,Cape,Elevation,32.3233789497833,-0.20082409629663764
0.05º,Cape,Elevation,21.07596165361019,-0.4260612904644124
0.05º,Cape,Elevation,42.004813697161865,-0.00694676956493581
0.05º,Cape,Elevation,149.75721277202206,2.1508684331061314
0.05º,Cape,Elevation,36.296108759532814,-0.1212674752544795
0.05º,Cape,Elevation,216.17493992519502,3.48092866943003
0.05º,Cape,Elevation,141.9652614546973,1.994829299357331
0.05º,Cape,Elevation,38.175684784253335,-0.08362768481324517
0.05º,Cape,Elevation,85.43177604174332,0.8627077379682034
0.05º,Cape,Elevation,115.09589874473863,1.456752005121392
0.05º,Cape,Elevation,89.870366736563,0.9515935406226969
0.05º,Cape,Elevation,53.57502174485525,0.22475452931783624
0.05º,Cape,Elevation,90.51293837973311,0.9644614755581826
0.05º,Cape,Elevation,64.63656661534492,0.4462695015273006
0.05º,Cape,Elevation,32.39470945756495,-0.19939565428117434
0.05º,Cape,Elevation,33.63107869230466,-0.17463651802303248
0.05º,Cape,Elevation,77.1763036393179,0.6973862786955517
0.05º,Cape,Elevation,22.640945316833925,-0.3947214263924308
0.05º,Cape,Elevation,81.64454936744065,0.7868659435957722
0.05º,Cape,Elevation,22.409336877260206,-0.3993595431886228
0.05º,Cape,Elevation,33.647067257292825,-0.17431633611621122
0.05º,Cape,Elevation,230.10159393923388,3.7598194042242987
0.05º,Cape,Elevation,93.6199355685091,1.026681211045829
0.05º,Cape,Elevation,30.225130699939175,-0.24284294702631898
0.05º,Cape,Elevation,60.264475566430654,0.3587153995879556
0.05º,Cape,Elevation,25.21333202179132,-0.3432076300708318
0.05º,Cape,Elevation,99.58013654370684,1.1460382962307398
0.05º,Cape,Elevation,69.22524338302418,0.5381608800437346
0.05º,Cape,Elevation,29.401175026900983,-0.25934322073598987
0.05º,Cape,Elevation,51.564810303459126,0.18449867565638492
0.05º,Cape,Elevation,23.998463178263933,-0.3675362063468326
0.05º,Cape,Elevation,39.305968093377345,-0.060992991491394276
0.05º,Cape,Elevation,60.24048817739036,0.35823503577992966
0.05º,Cape,Elevation,81.04352390294801,0.7748299991935169
0.05º,Cape,Elevation,210.27427389444463,3.3627638120685512
0.05º,Cape,Elevation,73.55107484905015,0.6247886023193079
0.05º,Cape,Elevation,62.71905910126779,0.4078701071691569
0.05º,Cape,Elevation,32.93081221942027,-0.1886598312307598
0.05º,Cape,Elevation,187.21559514468322,2.9009980603364203
0.05º,Cape,Elevation,100.8122128631532,1.1707114639353895
0.05º,Cape,Elevation,48.07270382188105,0.11456686420724739
0.05º,Cape,Elevation,99.7540509781387,1.1495210512673146
0.05º,Cape,Elevation,46.61016066619667,0.08527844109097196
0.05º,Cape,Elevation,107.68761163484089,1.3083960085149176
0.05º,Cape,Elevation,24.181140549909863,-0.3638779675223984
0.05º,Cape,Elevation,86.25301089664337,0.8791535254409777
0.05º,Cape,Elevation,15.624322802969187,-0.535234072624118
0.05º,Cape,Elevation,58.00819972488583,0.313531938671021
0.05º,Cape,Elevation,114.34603273539655,1.4417354274041712
0.05º,Cape,Elevation,25.329049073311264,-0.34089031727666813
0.05º,Cape,Elevation,9.671217483030496,-0.6544490624782303
0.05º,Cape,Elevation,205.4312204169061,3.2657783666315425
0.05º,Cape,Elevation,98.41154498769573,1.1226364541657483
0.05º,Cape,Elevation,147.90195594470123,2.1137156511613795
0.05º,Cape,Elevation,11.561971013873631,-0.6165854348617089
0.05º,Cape,Elevation,59.033134826374216,0.3340569623617358
0.05º,Cape,Elevation,39.550063850715674,-0.05610480764941575
0.05º,Cape,Elevation,16.836246341637803,-0.5109644780845363
0.05º,Cape,Elevation,34.30965758428954,-0.1610475133984637
0.05º,Cape,Elevation,48.65754032598696,0.12627861364829682
0.05º,Cape,Elevation,63.23909860882983,0.4182842526085298
0.05º,Cape,Elevation,66.33982666752063,0.48037844449509154
0.05º,Cape,Elevation,125.09315732706482,1.6569539193171965
0.05º,Cape,Elevation,46.22212008088314,0.07750766399986331
0.05º,Cape,Elevation,82.71854944746167,0.8083735269093395
0.05º,Cape,Elevation,43.23205663673184,0.017629606414730607
0.05º,Cape,Elevation,55.49155863086326,0.26313448618761154
0.05º,Cape,Elevation,83.1965971449867,0.8179467577439008
0.05º,Cape,Elevation,34.98557523198043,-0.14751180200397515
0.05º,Cape,Elevation,18.221393004554027,-0.4832259724658056
0.05º,Cape,Elevation,152.9467374221764,2.214740837233446
0.05º,Cape,Elevation,82.71006248056973,0.8082035696151983
0.05º,Cape,Elevation,56.37520112604753,0.2808300291751057
0.05º,Cape,Elevation,16.494137537465704,-0.5178154399651838
0.05º,Cape,Elevation,36.187596331489694,-0.1234405105550441
0.05º,Cape,Elevation,134.29686970227326,1.8412645300762114
0.05º,Cape,Elevation,141.6231946332562,1.9879791782094742
0.05º,Cape,Elevation,87.4743277495828,0.9036112274984527
0.05º,Cape,Elevation,78.6369521458123,0.7266367601709824
0.05º,Cape,Elevation,35.45461637193472,-0.13811893362089267
0.05º,Cape,Elevation,99.45587801590915,1.143549934554847
0.05º,Cape,Elevation,17.23982519001697,-0.5028825366893936
0.05º,Cape,Elevation,52.94250127316627,0.21208787593907555
0.05º,Cape,Elevation,198.69560868274738,3.1308931527147768
0.05º,Cape,Elevation,30.382172612915628,-0.23969807572705715
0.05º,Cape,Elevation,29.452356191864478,-0.25831828303811166
0.05º,Cape,Elevation,49.525422772350744,0.14365855092091448
0.05º,Cape,Elevation,25.600967514134748,-0.33544496524243744
0.05º,Cape,Elevation,305.33204719913635,5.266360484903837
0.05º,Cape,Elevation,16.512727162164538,-0.5174431700655667
0.05º,Cape,Elevation,72.51276498111633,0.6039957398183585
0.05º,Cape,Elevation,64.26395536596988,0.43880770740029346
0.05º,Cape,Elevation,24.42280790675813,-0.35903841405469106
0.05º,Cape,Elevation,17.135365756779592,-0.5049744080076871
0.05º,Cape,Elevation,35.62360848307968,-0.1347347514616933
0.05º,Cape,Elevation,77.18331997715201,0.6975267856408774
