region,HDS_cell_no,richness,avg_QDS_richness,avg_QDS_turnover,rank
GCFR,cell_63,586,1307,NaN,species
GCFR,cell_92,348,324,0.8706896551724138,species
GCFR,cell_93,672,497,0.8269681841070249,species
GCFR,cell_122,118,197,NaN,species
GCFR,cell_123,492,274.5,0.8726810214613938,species
GCFR,cell_124,868,623.5,0.8067351477399194,species
GCFR,cell_153,608,325,0.8750090583195583,species
GCFR,cell_154,1180,1258.5,0.7547510122104821,species
GCFR,cell_155,119,78.5,0.9495798319327731,species
GCFR,cell_183,608,779.5,0.6891447368421053,species
GCFR,cell_184,1002,855.75,0.8302842696374454,species
GCFR,cell_185,846,560.5,0.8999925406504091,species
GCFR,cell_186,29,15,1,species
GCFR,cell_187,21,27,NaN,species
GCFR,cell_214,562,298.5,0.8509363422850238,species
GCFR,cell_215,552,241,0.9212317343168145,species
GCFR,cell_216,244,95.5,0.9605434647437024,species
GCFR,cell_217,322,131.5,0.924956516168004,species
GCFR,cell_218,31,37,NaN,species
GCFR,cell_244,130,171,NaN,species
GCFR,cell_245,664,365.25,0.9271120647935198,species
GCFR,cell_246,684,447.25,0.8858290263484888,species
GCFR,cell_247,1452,1361.75,0.9216610327951329,species
GCFR,cell_248,786,500.75,0.9150208440406583,species
GCFR,cell_275,377,313,0.9098143236074271,species
GCFR,cell_276,1543,1322,0.791094761250973,species
GCFR,cell_277,1193,685.25,0.9030484524501295,species
GCFR,cell_278,434,200.5,0.9174506913530105,species
GCFR,cell_279,325,190.66666666666666,0.9479163702000495,species
GCFR,cell_305,539,640,0.8070500927643784,species
GCFR,cell_306,1633,1521.25,0.8332111951995821,species
GCFR,cell_307,2028,2611.75,0.8449832792489087,species
GCFR,cell_308,421,291.75,0.7167849726228804,species
GCFR,cell_309,740,576.5,0.8330031586644513,species
GCFR,cell_310,255,162.66666666666666,0.9509710564141229,species
GCFR,cell_311,92,70.5,0.8586956521739131,species
GCFR,cell_312,141,192,NaN,species
GCFR,cell_335,598,438,0.8636410600094944,species
GCFR,cell_336,1407,1218.25,0.7772333574596462,species
GCFR,cell_337,1900,1900.25,0.7828101771886637,species
GCFR,cell_338,1022,649.5,0.9455617392798008,species
GCFR,cell_339,232,89.5,0.9386276743044751,species
GCFR,cell_340,380,197.25,0.9012603201665977,species
GCFR,cell_341,20,22,NaN,species
GCFR,cell_365,1230,1323.3333333333333,0.7821026067360877,species
GCFR,cell_366,1131,762.5,0.8783462234535447,species
GCFR,cell_367,2663,3592.25,0.7156095760504891,species
GCFR,cell_368,1401,965,0.8646277682367074,species
GCFR,cell_369,662,321,0.8884936894573247,species
GCFR,cell_370,1213,906.25,0.8373689857051059,species
GCFR,cell_371,1001,1521.5,0.7962037962037962,species
GCFR,cell_372,382,634,NaN,species
GCFR,cell_373,1333,1526.6666666666667,0.8677615964580345,species
GCFR,cell_374,588,396.3333333333333,0.9595083631959707,species
GCFR,cell_375,587,314.75,0.9252950693647848,species
GCFR,cell_376,228,158,0.956140350877193,species
GCFR,cell_377,240,158.66666666666666,0.9568751601461882,species
GCFR,cell_378,113,189,NaN,species
GCFR,cell_396,3030,5108.25,0.7148552776060445,species
GCFR,cell_397,3040,4764,0.712126574445427,species
GCFR,cell_398,1821,1422,0.8451899239324707,species
GCFR,cell_399,1468,1063.5,0.9030455230040397,species
GCFR,cell_400,1892,1696.5,0.8485713232449501,species
GCFR,cell_401,1683,1514.75,0.8578871254983184,species
GCFR,cell_402,862,626.6666666666666,0.8831371458712091,species
GCFR,cell_403,1692,1559.25,0.8675313338420607,species
GCFR,cell_404,1696,1298.75,0.865735073831978,species
GCFR,cell_405,1392,1158.75,0.8281360850402113,species
GCFR,cell_406,1379,1098,0.8183377476090559,species
GCFR,cell_407,1050,684.25,0.8312959291539365,species
GCFR,cell_408,916,539.5,0.8671572486679412,species
GCFR,cell_409,1567,1307.25,0.7743614265703632,species
GCFR,cell_425,2066,11732,NaN,species
GCFR,cell_426,2026,8611,NaN,species
GCFR,cell_427,2897,5575,0.6450105881056147,species
GCFR,cell_428,2087,1958,0.7935178082143297,species
GCFR,cell_429,1941,1684,0.8623635533872582,species
GCFR,cell_430,1559,1435,0.8591273832507123,species
GCFR,cell_431,1772,1920.6666666666667,0.7991754992890485,species
GCFR,cell_432,858,1015,0.8694638694638694,species
GCFR,cell_433,682,1647,NaN,species
GCFR,cell_438,328,487,NaN,species
GCFR,cell_458,1328,3039,0.6438253012048193,species
GCFR,cell_459,966,2498,NaN,species
SWAFR,cell_63,117,220,NaN,species
SWAFR,cell_94,304,323.6666666666667,0.8748641511350362,species
SWAFR,cell_95,91,121,0.7472527472527473,species
SWAFR,cell_125,411,256,0.8488108113356593,species
SWAFR,cell_126,416,663,0.8342269892636394,species
SWAFR,cell_127,21,27,NaN,species
SWAFR,cell_155,877,1590.6666666666667,0.7016017429193899,species
SWAFR,cell_156,932,1278.5,0.7965910329392784,species
SWAFR,cell_157,52,21.333333333333332,1,species
SWAFR,cell_158,332,135,0.9176307646964661,species
SWAFR,cell_159,110,138,NaN,species
SWAFR,cell_185,450,1227,NaN,species
SWAFR,cell_186,847,1023.25,0.8373403269785824,species
SWAFR,cell_187,604,535.5,0.8227292760613842,species
SWAFR,cell_188,388,313.5,0.9192634997138907,species
SWAFR,cell_189,287,203.75,0.9245820415832033,species
SWAFR,cell_190,339,222.25,0.8519677891360489,species
SWAFR,cell_191,59,66.5,0.9491525423728814,species
SWAFR,cell_216,927,1872,0.7408729251027789,species
SWAFR,cell_217,838,939.5,0.7480133476370359,species
SWAFR,cell_218,883,1006.25,0.7942344349065058,species
SWAFR,cell_219,376,204.75,0.8594130969010171,species
SWAFR,cell_220,241,107.75,0.9280923828316269,species
SWAFR,cell_221,486,215.75,0.9007104106477102,species
SWAFR,cell_246,250,423,NaN,species
SWAFR,cell_247,1002,1059.25,0.7724611120588631,species
SWAFR,cell_248,835,765.5,0.7836341421308555,species
SWAFR,cell_249,685,595,0.7970942611638365,species
SWAFR,cell_250,507,369.25,0.8255875266406383,species
SWAFR,cell_251,555,478.25,0.7910579744868579,species
SWAFR,cell_252,368,392.6666666666667,0.8735744778845468,species
SWAFR,cell_253,33,17.5,0.9696969696969697,species
SWAFR,cell_254,5,2.5,1,species
SWAFR,cell_277,1230,2164,0.6523705148979343,species
SWAFR,cell_278,1011,1121.5,0.7776851930392792,species
SWAFR,cell_279,854,766.25,0.83822472520399,species
SWAFR,cell_280,740,685.25,0.7794421025691501,species
SWAFR,cell_281,618,664.75,0.8357326188400354,species
SWAFR,cell_282,160,118.33333333333333,0.9108042243874417,species
SWAFR,cell_283,69,56.5,0.9710144927536232,species
SWAFR,cell_284,13,26,NaN,species
SWAFR,cell_307,1454,3603.5,0.5883157150403366,species
SWAFR,cell_308,1031,1264.25,0.7805957948794844,species
SWAFR,cell_309,945,960.25,0.8025506141726132,species
SWAFR,cell_310,818,910.75,0.7277099112127923,species
SWAFR,cell_311,560,461.25,0.7538183906238715,species
SWAFR,cell_312,425,391.3333333333333,0.8089474178285513,species
SWAFR,cell_313,160,165,0.94375,species
SWAFR,cell_337,692,670.6666666666666,0.8423087382987224,species
SWAFR,cell_338,991,1281.75,0.7068302908106693,species
SWAFR,cell_339,1077,1054.5,0.8063939002745244,species
SWAFR,cell_340,1210,2126.75,0.7511713231235974,species
SWAFR,cell_341,858,1013.75,0.7954657794019457,species
SWAFR,cell_342,591,429,0.7938611146336291,species
SWAFR,cell_343,499,378.25,0.7906231146707374,species
SWAFR,cell_344,499,680,0.8537074148296593,species
SWAFR,cell_368,1231,1727.5,0.6721779553335921,species
SWAFR,cell_369,1331,1739.5,0.7038551582435255,species
SWAFR,cell_370,907,858.5,0.735977069077893,species
SWAFR,cell_371,916,957.25,0.7727540197028229,species
SWAFR,cell_372,688,630.25,0.741929107388423,species
SWAFR,cell_373,920,1012,0.768114549328238,species
SWAFR,cell_374,646,737.25,0.7749785191866528,species
SWAFR,cell_375,403,535.5,0.7990074441687345,species
SWAFR,cell_398,2282,8948.5,0.6989482909728308,species
SWAFR,cell_399,2182,5503,0.6859324953926403,species
SWAFR,cell_400,1416,1708.75,0.7406719145186554,species
SWAFR,cell_401,1085,1217.75,0.7677200907920265,species
SWAFR,cell_402,990,919.25,0.783165225324235,species
SWAFR,cell_403,737,627.5,0.7676189030932864,species
SWAFR,cell_404,668,568.75,0.7809578812093689,species
SWAFR,cell_405,366,209.75,0.898051492464847,species
SWAFR,cell_406,172,172.5,0.9534883720930233,species
SWAFR,cell_428,1733,5959,0.5793421811886902,species
SWAFR,cell_429,1950,4656.5,0.6454647996326095,species
SWAFR,cell_430,1184,1379.25,0.7590263641068313,species
SWAFR,cell_431,895,721.75,0.7913999089425026,species
SWAFR,cell_432,769,602.5,0.8014187034750324,species
SWAFR,cell_433,887,763,0.814584730760795,species
SWAFR,cell_434,689,551.25,0.8597864935634358,species
SWAFR,cell_435,690,500,0.8685935873233763,species
SWAFR,cell_436,745,753.5,0.7681187195828916,species
SWAFR,cell_437,354,204,0.8696632492220727,species
SWAFR,cell_438,133,227,NaN,species
SWAFR,cell_441,38,47,NaN,species
SWAFR,cell_442,50,33,0.92,species
SWAFR,cell_448,51,40,0.9607843137254902,species
SWAFR,cell_449,135,324,NaN,species
SWAFR,cell_458,1339,2036,0.6525243477829128,species
SWAFR,cell_459,981,978.5,0.7392484593473816,species
SWAFR,cell_460,836,678,0.8190417661212045,species
SWAFR,cell_461,1118,1499.75,0.6914754358404359,species
SWAFR,cell_462,870,824.25,0.7743755215319328,species
SWAFR,cell_463,910,757.25,0.81549154252437706,species
SWAFR,cell_464,679,522.75,0.8278010703360908,species
SWAFR,cell_465,766,568.75,0.8249516633333899,species
SWAFR,cell_466,619,497.5,0.8563611883718332,species
SWAFR,cell_467,437,277.5,0.9132934797357426,species
SWAFR,cell_468,480,410.75,0.8528375464346152,species
SWAFR,cell_469,646,656.25,0.8217294609839327,species
SWAFR,cell_470,487,680,0.8552377493599476,species
SWAFR,cell_471,57,17.5,1,species
SWAFR,cell_472,97,35.5,0.9937486410089149,species
SWAFR,cell_473,118,201,NaN,species
SWAFR,cell_475,12,8.5,1,species
SWAFR,cell_476,109,95,0.9357798165137615,species
SWAFR,cell_477,67,157,NaN,species
SWAFR,cell_488,1384,1961.6666666666667,0.6643396763081006,species
SWAFR,cell_489,919,1121.75,0.6645946491067016,species
SWAFR,cell_490,796,539.75,0.837349724110461,species
SWAFR,cell_491,1100,895,0.7792836856402918,species
SWAFR,cell_492,696,467,0.8447417716070712,species
SWAFR,cell_493,1105,1346.25,0.7972468944941863,species
SWAFR,cell_494,876,908.25,0.7521649943592041,species
SWAFR,cell_495,874,875,0.792156768003959,species
SWAFR,cell_496,1125,1508,0.6931862704560732,species
SWAFR,cell_497,826,688.5,0.8640524493901892,species
SWAFR,cell_498,532,342,0.8618719664125262,species
SWAFR,cell_499,531,449.25,0.8677684822307864,species
SWAFR,cell_500,729,941.5,0.7587543326833194,species
SWAFR,cell_501,752,703.25,0.8466984275192261,species
SWAFR,cell_502,451,310.5,0.866853249679945,species
SWAFR,cell_503,828,1054,0.8374623898772195,species
SWAFR,cell_504,154,96.66666666666667,0.9799382716049383,species
SWAFR,cell_505,18,23,NaN,species
SWAFR,cell_517,1411,2849.6666666666665,0.6101502457782618,species
SWAFR,cell_518,1436,2149.5,0.6648708930497984,species
SWAFR,cell_519,1024,968.75,0.7392410545644928,species
SWAFR,cell_520,1069,795.5,0.7825439682653665,species
SWAFR,cell_521,907,727,0.7920224142737555,species
SWAFR,cell_522,639,411.5,0.8650070337158436,species
SWAFR,cell_523,879,796.25,0.7973120234033263,species
SWAFR,cell_524,909,716.25,0.8299306130971179,species
SWAFR,cell_525,940,778,0.8186295485891518,species
SWAFR,cell_526,1299,1510,0.7478258680951747,species
SWAFR,cell_527,1617,3754.75,0.7245939828159937,species
SWAFR,cell_528,783,887.3333333333334,0.7630699042832723,species
SWAFR,cell_529,598,913,0.6872909698996655,species
SWAFR,cell_530,1056,1423,0.7633667455768212,species
SWAFR,cell_531,944,1160.5,0.7919222588014726,species
SWAFR,cell_532,827,939.75,0.7224163202258577,species
SWAFR,cell_533,746,643,0.8105480764495218,species
SWAFR,cell_534,338,479.5,0.8905325443786982,species
SWAFR,cell_547,1137,3087.5,0.5804749340369393,species
SWAFR,cell_548,913,1144,0.7014665304756045,species
SWAFR,cell_549,1292,1683,0.6687293568380743,species
SWAFR,cell_550,1079,1055.25,0.7345443033166544,species
SWAFR,cell_551,855,573.25,0.8184795927222017,species
SWAFR,cell_552,1566,2483.75,0.790652225554307,species
SWAFR,cell_553,1595,2677.25,0.7700687927493997,species
SWAFR,cell_554,1250,1275.5,0.7641276709033947,species
SWAFR,cell_555,1306,1697.25,0.7383013481905693,species
SWAFR,cell_578,315,698,NaN,species
SWAFR,cell_579,846,1297.6666666666667,0.6691362251135095,species
SWAFR,cell_580,1208,2730.25,0.6084050862922223,species
SWAFR,cell_581,1346,2016.5,0.7205364860269853,species
SWAFR,cell_582,1846,3682.75,0.6072301297539447,species
SWAFR,cell_583,1522,2324.25,0.68987523112123,species
SWAFR,cell_584,683,2035,NaN,species
SWAFR,cell_612,706,1972,NaN,species
GCFR,cell_63,276,1307,NaN,genus
GCFR,cell_92,174,324,0.6896551724137931,genus
GCFR,cell_93,267,497,0.5801587301587301,genus
GCFR,cell_122,69,197,NaN,genus
GCFR,cell_123,205,274.5,0.7314236768331229,genus
GCFR,cell_124,275,623.5,0.5735508749534685,genus
GCFR,cell_153,224,325,0.635310213977332,genus
GCFR,cell_154,345,1258.5,0.49241405722571696,genus
GCFR,cell_155,84,78.5,0.8095238095238095,genus
GCFR,cell_183,229,779.5,0.42358078602620086,genus
GCFR,cell_184,317,855.75,0.580977324902977,genus
GCFR,cell_185,311,560.5,0.6953014278015472,genus
GCFR,cell_186,22,15,0.9545454545454546,genus
GCFR,cell_187,21,27,NaN,genus
GCFR,cell_214,228,298.5,0.6432018881173626,genus
GCFR,cell_215,233,241,0.7360727042210419,genus
GCFR,cell_216,139,95.5,0.8393123738812232,genus
GCFR,cell_217,178,131.5,0.8029848107309907,genus
GCFR,cell_218,26,37,NaN,genus
GCFR,cell_244,83,171,NaN,genus
GCFR,cell_245,234,365.25,0.7315087833916459,genus
GCFR,cell_246,253,447.25,0.70217101223137,genus
GCFR,cell_247,417,1361.75,0.730149261293161,genus
GCFR,cell_248,299,500.75,0.7710967526070349,genus
GCFR,cell_275,174,313,0.6379310344827587,genus
GCFR,cell_276,404,1322,0.4904141080353902,genus
GCFR,cell_277,381,685.25,0.6952321066977039,genus
GCFR,cell_278,207,200.5,0.7421210846391926,genus
GCFR,cell_279,171,190.66666666666666,0.8204687824253041,genus
GCFR,cell_305,242,640,0.5661157024793388,genus
GCFR,cell_306,426,1521.25,0.6221893658608577,genus
GCFR,cell_307,463,2611.75,0.6187510744219704,genus
GCFR,cell_308,215,291.75,0.54358422143031,genus
GCFR,cell_309,270,576.5,0.6070386544148325,genus
GCFR,cell_310,135,162.66666666666666,0.8419510994666979,genus
GCFR,cell_311,74,70.5,0.7837837837837838,genus
