resolution,variable,CLES_value
base,Elevation,0.9433501455016338
base,MAP,0.8076050886580851
base,PDQ,0.8416222778550027
base,Surface.T,0.7982682052989493
base,NDVI,0.5572744602048855
base,CEC,0.6852209736255866
base,Clay,0.6101241758544583
base,Soil.C,0.7371179052324561
base,pH,0.6802404326560346
base,PC1,0.856079498650042
EDS,Elevation,0.9587582677651714
EDS,MAP,0.7485142631024212
EDS,PDQ,0.8530305761001052
EDS,Surface.T,0.8292253635334689
EDS,NDVI,0.5820279635272075
EDS,CEC,0.6933429453903728
EDS,Clay,0.6203587203892658
EDS,Soil.C,0.750025454464431
EDS,pH,0.6924570454149952
EDS,PC1,0.8630077390033188
QDS,Elevation,0.9602473163145318
QDS,MAP,0.667041771506362
QDS,PDQ,0.8535068087850396
QDS,Surface.T,0.8100494379749397
QDS,NDVI,0.6063211487480349
QDS,CEC,0.7096857127202687
QDS,Clay,0.6036785562256867
QDS,Soil.C,0.709179953385848
QDS,pH,0.6856958616242461
QDS,PC1,0.8500297133608972
HDS,Elevation,0.9674647022713321
HDS,MAP,0.6012379783098015
HDS,PDQ,0.8473501125434827
HDS,Surface.T,0.7391037446286065
HDS,NDVI,0.6075813382443217
HDS,CEC,0.6675874769797422
HDS,Clay,0.6900961735215879
HDS,Soil.C,0.6361776140781665
HDS,pH,0.7093308778391652
HDS,PC1,0.8103642316349499
3QDS,Elevation,0.9805709754163362
3QDS,MAP,0.580293417922284
3QDS,PDQ,0.8554718477398889
3QDS,Surface.T,0.5761300555114988
3QDS,NDVI,0.5850515463917526
3QDS,CEC,0.6003172085646312
3QDS,Clay,0.7769627279936558
3QDS,Soil.C,0.5394528152260111
3QDS,pH,0.6677240285487708
3QDS,PC1,0.7386994448850119
