resolution,variable,U_p_value,CLES_value
0.05º,Elevation,0,0.93348096
0.05º,MAP,0,0.77609344
0.05º,PDQ,0,0.8220536
0.05º,Surface T,0,0.77541224
0.05º,NDVI,2.1991991447667717e-11,0.53863908
0.05º,CEC,9.614979354314946e-169,0.65986736
0.05º,Clay,1.0700146893662732e-57,0.59244372
0.05º,Soil C,3.726107627085314e-274,0.704265
0.05º,pH,6.367354637173179e-146,0.64852208
QDS,Elevation,9.282560916724739e-135,0.9479451558566228
QDS,MAP,3.4916679744030184e-19,0.6622189115954702
QDS,PDQ,1.8192265566191916e-85,0.8550197378127553
QDS,Surface T,3.754317790428636e-55,0.7861900028665348
QDS,NDVI,1.8252499162921133e-8,0.6022796817625459
QDS,CEC,6.050787857436808e-13,0.6304260175245336
QDS,Clay,5.365639436774548e-7,0.5893649248079628
QDS,Soil C,2.9145637300538736e-16,0.648134148360945
QDS,pH,4.5080997141754515e-12,0.623370388402034
HDS,Elevation,3.4957066520217514e-40,0.9522830111065406
HDS,MAP,2.955638822949145e-4,0.62324968176032
HDS,PDQ,5.510071686615109e-26,0.8589743589743589
HDS,Surface T,8.917984286534172e-14,0.7596772596772596
HDS,NDVI,0.0031964492787572743,0.6007744790706251
HDS,CEC,0.004588542747259576,0.5965970961887477
HDS,Clay,0.020939528775173324,0.5772833227378682
HDS,Soil C,0.03197296219129206,0.5730943738656987
HDS,pH,0.006054870944505842,0.5918626827717737
3QDS,Elevation,2.7828724773533533e-21,0.9595481049562682
3QDS,MAP,0.10317514970374332,0.579004329004329
3QDS,PDQ,1.2228309816785591e-11,0.8282828282828283
3QDS,Surface T,0.010477230171574162,0.624271137026239
3QDS,NDVI,0.1573300761345695,0.5686953352769679
3QDS,CEC,0.7709863344784138,0.4857871720116618
3QDS,Clay,0.017671776223370763,0.6130799520630029
3QDS,Soil C,0.3866314814366436,0.45790816326530615
3QDS,pH,0.006161290150852366,0.630542715288478
