model_type,nt,pseudo_r2,pred_obs_r2,pred_obs_r2_exp,path,region,response,scale,rep
replicates,7750,0.48717708842960394,0.8022532427837834,0.6908190905631939,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_100.csv,GCFR,richness,QDS,100
replicates,7150,0.48648189361254124,0.7940595312097264,0.6801533059796528,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_101.csv,GCFR,richness,QDS,101
replicates,8450,0.4879267757772344,0.8125878384377443,0.700647268934589,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_102.csv,GCFR,richness,QDS,102
replicates,8050,0.48432793403290475,0.8072072442038923,0.6950224314303961,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_103.csv,GCFR,richness,QDS,103
replicates,8250,0.4961466486474927,0.8104918032875142,0.6974190087416506,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_104.csv,GCFR,richness,QDS,104
replicates,7700,0.4938468750187943,0.8021362415440644,0.6892609342229086,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_105.csv,GCFR,richness,QDS,105
replicates,8350,0.5129772127692537,0.8115853419156595,0.6999256237189294,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_106.csv,GCFR,richness,QDS,106
replicates,8400,0.4991257067224786,0.8112535744146413,0.700051214438686,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_107.csv,GCFR,richness,QDS,107
replicates,7750,0.49582914068721107,0.8032495570794839,0.6896457884296616,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_108.csv,GCFR,richness,QDS,108
replicates,7700,0.487350064355592,0.8028257811449897,0.6899741028718067,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_109.csv,GCFR,richness,QDS,109
replicates,7550,0.48547784357037516,0.7993575969160877,0.6878669765270682,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_10.csv,GCFR,richness,QDS,10
replicates,8750,0.5102086578810219,0.8158581547990116,0.7053075942134354,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_110.csv,GCFR,richness,QDS,110
replicates,7250,0.49084572197382603,0.7954116326359586,0.6820286704356255,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_111.csv,GCFR,richness,QDS,111
replicates,9050,0.503699726821312,0.820173220619736,0.7094624390697176,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_112.csv,GCFR,richness,QDS,112
replicates,7200,0.4699419651795116,0.7948449236689105,0.6805903469753203,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_113.csv,GCFR,richness,QDS,113
replicates,7950,0.4798503823217163,0.8050631106004477,0.6928908424860529,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_114.csv,GCFR,richness,QDS,114
replicates,8400,0.4870673381687898,0.8115660206540871,0.7005042295883637,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_115.csv,GCFR,richness,QDS,115
replicates,8350,0.48265819498101237,0.8117971758557108,0.6985315694108577,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_116.csv,GCFR,richness,QDS,116
replicates,8050,0.5016351644851988,0.8074494226940778,0.6932715911430855,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_117.csv,GCFR,richness,QDS,117
replicates,7250,0.47486099120714464,0.7946042004632216,0.6809165301578936,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_118.csv,GCFR,richness,QDS,118
replicates,8700,0.4977214940697047,0.8162274482947303,0.7055592302479735,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_119.csv,GCFR,richness,QDS,119
replicates,8900,0.49763917913957834,0.8179970927490864,0.7097789095244202,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_11.csv,GCFR,richness,QDS,11
replicates,7500,0.4675636035543199,0.7990214142164789,0.6875858691395985,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_120.csv,GCFR,richness,QDS,120
replicates,8500,0.47960307230946375,0.8132252667196971,0.7013540841577168,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_121.csv,GCFR,richness,QDS,121
replicates,6850,0.47165682521216257,0.7883159465384686,0.6733625128150894,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_122.csv,GCFR,richness,QDS,122
replicates,7100,0.5001337844307504,0.7936013455684571,0.6795075596959774,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_123.csv,GCFR,richness,QDS,123
replicates,8150,0.49191217106800633,0.8089028243351049,0.6965816767108184,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_124.csv,GCFR,richness,QDS,124
replicates,7350,0.4827320246849368,0.7964650745409705,0.6847495814712588,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_125.csv,GCFR,richness,QDS,125
replicates,8550,0.49293489869475204,0.8133597954108671,0.6999172505047895,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_126.csv,GCFR,richness,QDS,126
replicates,8550,0.5035700461991621,0.8137064458884183,0.7027214851400958,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_127.csv,GCFR,richness,QDS,127
replicates,8350,0.4792932467782093,0.8111159811658997,0.6999489318725097,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_128.csv,GCFR,richness,QDS,128
replicates,8300,0.5034876470275903,0.8098875866476848,0.6957310605855239,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_129.csv,GCFR,richness,QDS,129
replicates,7750,0.48983092055717037,0.8030033580265282,0.6905334931218569,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_12.csv,GCFR,richness,QDS,12
replicates,8550,0.5211114050077663,0.813963377938266,0.7047871433162616,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_130.csv,GCFR,richness,QDS,130
