region,threeQDS_cell_no,richness,avg_QDS_richness,avg_QDS_turnover,rank
GCFR,cell_22,586,1307,NaN,species
GCFR,cell_42,861,382.3333333333333,0.8609889130350166,species
GCFR,cell_43,768,505.75,0.8817491632237076,species
GCFR,cell_62,439,285.3333333333333,0.8629486788294477,species
GCFR,cell_63,1475,787.6666666666666,0.8470280927921393,species
GCFR,cell_64,119,78.5,0.9495798319327731,species
GCFR,cell_83,1337,705.625,0.8311473127790242,species
GCFR,cell_84,1114,431.85714285714283,0.9255368622518262,species
GCFR,cell_85,215,57.5,0.9685252094897286,species
GCFR,cell_103,397,234,0.8804078265647717,species
GCFR,cell_104,1022,345.6666666666667,0.9232594729175473,species
GCFR,cell_105,1680,709.8888888888889,0.9383053015896763,species
GCFR,cell_106,794,408,0.9338156985633536,species
GCFR,cell_124,1616,915.1666666666666,0.8779823017977997,species
GCFR,cell_125,2531,1361.5555555555557,0.8753533936999166,species
GCFR,cell_126,1000,347.55555555555554,0.9103190031233814,species
GCFR,cell_127,211,139.33333333333334,0.937906746031746,species
GCFR,cell_128,141,192,NaN,species
GCFR,cell_144,1498,686.7142857142857,0.883029446202339,species
GCFR,cell_145,2805,1967,0.8211555134252074,species
GCFR,cell_146,1294,416.1111111111111,0.9218494343576288,species
GCFR,cell_147,639,198.77777777777777,0.9208120192872126,species
GCFR,cell_148,110,54.333333333333336,0.9434069803011677,species
GCFR,cell_164,1766,1408.5,0.8074182744770043,species
GCFR,cell_165,3879,3119.222222222222,0.8072901337273044,species
GCFR,cell_166,2080,784.7777777777778,0.8874445254779446,species
GCFR,cell_167,1812,749.6666666666666,0.8774330484944501,species
GCFR,cell_168,1428,1230.75,0.823855577646394,species
GCFR,cell_169,1765,959.8571428571429,0.8796111455870833,species
GCFR,cell_170,1457,562.875,0.9262733105967604,species
GCFR,cell_171,1072,416,0.9090761658402696,species
GCFR,cell_172,1027,440.5,0.9296278899414067,species
GCFR,cell_173,959,569.75,0.8832044135074278,species
GCFR,cell_184,2498,7471.5,0.6981585268214572,species
GCFR,cell_185,4391,6506.75,0.6985437437567088,species
GCFR,cell_186,3159,1592,0.8651094184813399,species
GCFR,cell_187,3058,1963,0.8461978293425698,species
GCFR,cell_188,2655,1766.2857142857142,0.8444393080993414,species
GCFR,cell_189,1961,1573.2,0.8628381803660692,species
GCFR,cell_190,1523,1880,0.7346545899345374,species
GCFR,cell_191,1251,1310.3333333333333,0.739278850279194,species
GCFR,cell_192,872,491.25,0.8679072598137759,species
GCFR,cell_193,1458,1463,0.7922345963558728,species
GCFR,cell_206,1699,2858.6666666666665,0.6761696238675584,species
SWAFR,cell_43,347,297.75,0.8744377392208332,species
SWAFR,cell_44,91,121,0.7472527472527473,species
SWAFR,cell_64,1051,946.375,0.8166597436937326,species
SWAFR,cell_65,127,47,0.9756978653530377,species
SWAFR,cell_66,186,128.5,0.9247311827956989,species
SWAFR,cell_84,1272,1585.5,0.7139263696346453,species
SWAFR,cell_85,738,353.3333333333333,0.8898735850896464,species
SWAFR,cell_86,600,237.22222222222223,0.905362065317287,species
SWAFR,cell_87,404,207.33333333333334,0.8987795697065789,species
SWAFR,cell_88,59,66.5,0.9491525423728814,species
SWAFR,cell_104,744,4177,NaN,species
SWAFR,cell_105,1302,898.2222222222222,0.7828970068830998,species
SWAFR,cell_106,1160,709.2222222222222,0.8296696474958707,species
SWAFR,cell_107,651,243.55555555555554,0.8926497023370886,species
SWAFR,cell_108,667,294.14285714285717,0.8671042579696707,species
