region,hdgc,HDS_richness,n_QDS,mean_QDS_richness,mean_QDS_jaccard,add_residual_turnover,add_residual_turnover_prop,mul_residual_turnover
Cape,E020S32B,257,4,72,0.975485528207061,185,0.7198443579766537,3.5694444444444446
Cape,E018S34A,2092,2,1125,0.924474187380497,967,0.46223709369024857,1.8595555555555556
Cape,E019S33D,1819,4,653.5,0.844555262539352,1165.5,0.6407366684991753,2.7834736036725327
Cape,E024S33D,916,4,317.75,0.867167745572811,598.25,0.6531113537117904,2.882769472856019
Cape,E017S28A,599,3,204,0.992698096187627,395,0.659432387312187,2.9362745098039214
Cape,E022S33A,1335,4,428,0.931732654923501,907,0.6794007490636704,3.119158878504673
Cape,E016S28D,355,4,103.25,0.958254145740877,251.75,0.7091549295774648,3.4382566585956416
Cape,E022S33D,1696,4,593.5,0.865735073831978,1102.5,0.6500589622641509,2.857624262847515
Cape,E022S33C,1692,4,599.5,0.867968410850746,1092.5,0.6456855791962175,2.822351959966639
Cape,E022S34A,687,2,350,0.981077147016012,337,0.49053857350800584,1.9628571428571429
Cape,E021S34A,1772,4,632.75,0.893680489239507,1139.25,0.6429176072234764,2.8004741209008297
Cape,E021S33D,906,4,284.75,0.921890759851809,621.25,0.6857064017660044,3.1817383669885864
Cape,E023S33D,1379,4,531.75,0.818724619837234,847.25,0.614394488759971,2.5933239304184297
Cape,E023S33C,1392,4,521.5,0.828060997548066,870.5,0.6253591954022989,2.6692233940556087
Cape,E020S34A,1906,4,675.75,0.860960782382811,1230.25,0.6454616998950682,2.820569737328894
Cape,E024S33C,1050,4,385.25,0.832598134261948,664.75,0.633095238095238,2.7255029201817003
Cape,E019S34D,1336,4,463.75,0.922530663053858,872.25,0.6528817365269461,2.8808625336927225
Cape,E018S33D,3029,4,1345.5,0.71424354072772,1683.5,0.555793991416309,2.251207729468599
Cape,E019S33C,3040,4,1370.5,0.712178383939485,1669.5,0.5491776315789474,2.2181685516234952
Cape,E019S32C,1898,4,777.25,0.782759396920888,1120.75,0.5904899894625922,2.441942746863943
Cape,E019S33A,2655,4,1181.5,0.715191420240532,1473.5,0.5549905838041431,2.2471434617012274
Cape,E018S34B,2129,3,802.3333333333334,0.944107784157989,1326.6666666666665,0.6231407546578988,2.65351059410054
Cape,E018S33C,706,2,374,0.940509915014164,332,0.4702549575070821,1.8877005347593583
Cape,E017S30D,568,4,199.5,0.850622795272644,368.5,0.6487676056338029,2.8471177944862154
Cape,E018S30C,548,4,168.5,0.923073805063565,379.5,0.6925182481751825,3.2522255192878338
Cape,E025S33C,1568,4,643.75,0.775050875754464,924.25,0.5894451530612245,2.435728155339806
Cape,E020S34B,1555,4,559.5,0.858660203581004,995.5,0.6401929260450161,2.779267202859696
Cape,E017S30A,609,3,267,0.891945992844899,342,0.5615763546798029,2.2808988764044944
Cape,E018S32C,600,3,253.66666666666666,0.864697723601967,346.33333333333337,0.5772222222222223,2.3653088042049935
Cape,E018S33B,1144,4,384.25,0.877065903690899,759.75,0.6641171328671329,2.977228366948601
Cape,E018S33A,1236,4,447.25,0.873665622543437,788.75,0.6381472491909385,2.7635550586920066
Cape,E018S32B,1634,4,605.5,0.833704208863897,1028.5,0.629436964504284,2.698596201486375
Cape,E019S34A,2898,4,1452,0.646709295498177,1446,0.4989648033126294,1.9958677685950412
Cape,E022S33B,596,4,167.25,0.977922381550411,428.75,0.7193791946308725,3.563527653213752
Cape,E020S33C,1467,4,466.75,0.903097732602443,1000.25,0.6818336741649625,3.143010176754151
Cape,E019S34B,2122,4,841,0.795657794301564,1281,0.6036757775683318,2.5231866825208087
Cape,E020S32A,740,4,279.5,0.834937379499541,460.5,0.6222972972972973,2.6475849731663685
Cape,E020S33A,653,4,215,0.886457043936862,438,0.6707503828483921,3.0372093023255813
Cape,E019S33B,1407,4,498,0.864236787303941,909,0.6460554371002132,2.825301204819277
Cape,E018S30A,843,4,277.25,0.901525876474059,565.75,0.6711150652431791,3.040577096483318
Cape,E020S31C,324,3,119.66666666666667,0.947765536836428,204.33333333333331,0.6306584362139918,2.7075208913649025
Cape,E019S31B,786,4,256.5,0.915020844040658,529.5,0.6736641221374046,3.064327485380117
Cape,E024S34B,371,2,193.5,0.956873315363881,177.5,0.4784366576819407,1.917312661498708
Cape,E017S29B,868,4,338,0.814436608038744,530,0.6105990783410138,2.5680473372781063
Cape,E017S30B,1003,4,381.5,0.830123675498324,621.5,0.6196410767696909,2.6290956749672345
Cape,E017S28C,672,4,226.5,0.907165485111677,445.5,0.6629464285714286,2.966887417218543
Cape,E017S29C,608,4,210,0.874727146485645,398,0.6546052631578947,2.895238095238095
Cape,E017S29D,1179,4,498.25,0.754619377464766,680.75,0.5773960983884648,2.3662819869543403
Cape,E020S33D,1893,4,685.5,0.848727900750127,1207.5,0.6378763866877971,2.761487964989059
Cape,E019S30C,322,4,98.5,0.924277467440994,223.5,0.6940993788819876,3.269035532994924
Cape,E017S29A,483,4,167,0.871479198933698,316,0.6542443064182195,2.8922155688622753
Cape,E020S33B,1215,4,453.5,0.838202486350313,761.5,0.6267489711934157,2.679162072767365
Cape,E021S33B,408,4,104.25,0.996216509473501,303.75,0.7444852941176471,3.9136690647482015
Cape,E021S33C,1681,4,600,0.857752710102162,1081,0.6430696014277216,2.8016666666666667
Cape,E018S29B,31,3,10.666666666666666,0.972222222222222,20.333333333333336,0.6559139784946237,2.90625
Cape,E016S28B,66,2,33.5,0.984848484848485,32.5,0.49242424242424243,1.9701492537313432
Cape,E018S29C,159,3,58,0.951486535208143,101,0.6352201257861635,2.7413793103448274
Cape,E019S32A,2027,4,783,0.845592425690427,1244,0.613714849531327,2.5887611749680715
Cape,E021S33A,1004,4,302.75,0.964917864503695,701.25,0.6984561752988048,3.3162675474814205
Cape,E020S34C,975,3,332,0.981307963440753,643,0.6594871794871795,2.9367469879518073
Cape,E021S34B,869,4,250.75,0.963105101825469,618.25,0.7114499424626007,3.465603190428714
Cape,E019S32D,1022,4,298.25,0.945561739279801,723.75,0.7081702544031311,3.426655490360436
Cape,E018S32D,1409,4,570.75,0.778634940142896,838.25,0.5949254790631654,2.4686815593517304
Cape,E018S32A,540,2,322,0.807407407407407,218,0.40370370370370373,1.6770186335403727
Cape,E019S31A,1448,4,440.75,0.92182544053809,1007.25,0.695614640883978,3.285309132161089
Cape,E019S31C,1193,4,379,0.90304845245013,814,0.6823134953897737,3.1477572559366753
Cape,E018S31B,692,4,231.75,0.885543547613174,460.25,0.6651011560693642,2.9859762675296655
Cape,E018S31D,1542,4,621.25,0.791161670398233,920.75,0.5971141374837873,2.482092555331992
Cape,E017S31B,131,2,65.5,1,65.5,0.5,2
Cape,E019S31D,435,4,137.5,0.917172494939968,297.5,0.6839080459770115,3.1636363636363636
Cape,E024S33B,120,2,61,0.983333333333333,59,0.49166666666666664,1.9672131147540983
Cape,E023S33B,232,4,61.25,0.963060428849903,170.75,0.7359913793103449,3.7877551020408164
Cape,E024S33A,240,3,87.33333333333333,0.956875160146188,152.66666666666669,0.6361111111111112,2.7480916030534353
Cape,E021S32B,141,2,74.5,0.943262411347518,66.5,0.4716312056737589,1.8926174496644295
Cape,E020S32C,232,4,68.75,0.938627674304475,163.25,0.7036637931034483,3.3745454545454545
Cape,E020S32D,380,4,123.5,0.901260320166598,256.5,0.675,3.076923076923077
Cape,E018S31C,389,4,108.25,0.974294028923849,280.75,0.7217223650385605,3.5935334872979214
Cape,E018S31A,664,4,208,0.926690079236685,456,0.6867469879518072,3.1923076923076925
Cape,E023S33A,586,4,183.25,0.92519201628599,402.75,0.6872866894197952,3.197817189631651
Cape,E017S32D,52,2,26.5,0.980769230769231,25.5,0.49038461538461536,1.9622641509433962
Cape,E022S34B,66,2,33.5,0.984848484848485,32.5,0.49242424242424243,1.9701492537313432
Cape,E018S30D,243,4,68,0.962632687150332,175,0.720164609053498,3.573529411764706
Cape,E026S33B,56,2,28.5,0.982142857142857,27.5,0.49107142857142855,1.9649122807017543
Cape,E025S33A,13,2,6.5,1,6.5,0.5,2
Cape,E018S30B,45,4,12,0.979012345679012,33,0.7333333333333333,3.75
Cape,E019S32B,421,4,180,0.71678497262288,241,0.5724465558194775,2.338888888888889
Cape,E021S32A,97,3,36.666666666666664,0.952898550724638,60.333333333333336,0.6219931271477663,2.6454545454545455
