response,term,var_explained,p.value
QDS_richness,Residuals,0.753009064411886,NA
QDS_richness,MAP,0.13550179877989663,1.1776752555872822e-33
QDS_richness,Elevation,0.057949119508203195,5.804777887471911e-16
QDS_richness,region,0.01489958085185347,3.1736387016826656e-5
QDS_richness,NDVI,0.011268185399972422,2.917009402679887e-4
QDS_richness,PDQ,0.00674993389494151,0.004986391538639672
QDS_richness,pH:region,0.005587332274159498,0.010598783746497652
QDS_richness,PDQ:region,0.005574054698870234,0.01069133737117004
QDS_richness,pH,0.0030822453462982674,0.057467807932841945
QDS_richness,NDVI:region,0.0028839317590612827,0.06610290456350186
QDS_richness,MAP:region,0.00243441364208207,0.09127888256125281
QDS_richness,CEC:region,8.269003670571744e-4,0.3247639862322562
QDS_richness,CEC,2.334390657183011e-4,0.6007608128153057
HDS_richness,Residuals,0.6243896284766928,NA
HDS_richness,MAP,0.19411224499633173,9.663294102749898e-15
HDS_richness,NDVI,0.0472012778030426,5.876526510017786e-5
HDS_richness,Elevation,0.04440103857807558,9.586132998394658e-5
HDS_richness,Clay,0.02010950462113171,0.008054276621550782
HDS_richness,PDQ:region,0.01223140039781628,0.0381769751810683
HDS_richness,PDQ,0.010925121638131923,0.04997927128097328
HDS_richness,pH:region,0.0095247771592163865,0.06706690953038436
HDS_richness,Elevation:region,0.008648106704739917,0.08089394749374028
HDS_richness,CEC:region,0.007890779071337185,0.09534695166347606
HDS_richness,MAP:region,0.007596532951395709,0.101705453519783
HDS_richness,pH,0.006642886574265433,0.12575788291771967
HDS_richness,Soil_C:region,0.002861195609873983,0.3142607080697056
HDS_richness,region,0.001555921295145812,0.4577981619580145
HDS_richness,CEC,0.0011787600872755339,0.5180529038946708
HDS_richness,Soil_C,7.308240355274471e-4,0.6107347785976367
DS_richness,Residuals,0.3058876135972286,NA
DS_richness,MAP,0.2700584754272568,2.997922708781538e-8
DS_richness,Elevation,0.12131764973828815,5.6790637214600675e-5
DS_richness,Clay,0.04795323402075817,0.007863556940406488
DS_richness,Clay:region,0.04714268630633033,0.0083677518386946
DS_richness,PDQ,0.03991043304389662,0.014726932991472418
DS_richness,Soil_C,0.03895050668899426,0.0158992019036396
DS_richness,Surface_T:region,0.036112615212682025,0.01998621484443306
DS_richness,Elevation:region,0.029561656311394822,0.034396986862952506
DS_richness,pH:region,0.029296591832229525,0.03517798957106976
DS_richness,pH,0.015400342870180685,0.12269726123768722
DS_richness,PDQ:region,0.013826750395415442,0.1430917802732573
DS_richness,Surface_T,0.003229756681636166,0.47538094657047636
DS_richness,region,0.001351687873708376,0.6437610843055859
